date,state,county,fips,cases,deaths,cases_diff,deaths_diff,hospitalization_total,hospitalization_total_adult,hospitalization_total_pediatric,household_median_income,population
2020-01-22,Wisconsin,Fond du Lac,55039.0,0,0,0.0,0.0,2,2,0,891.2222222222222,103403
2020-01-23,Wisconsin,Fond du Lac,55039.0,0,0,0.0,0.0,2,2,0,891.2222222222222,103403
2020-01-24,Wisconsin,Fond du Lac,55039.0,0,0,0.0,0.0,2,2,0,891.2222222222222,103403
2020-01-25,Wisconsin,Fond du Lac,55039.0,0,0,0.0,0.0,2,2,0,891.2222222222222,103403
2020-01-26,Wisconsin,Fond du Lac,55039.0,0,0,0.0,0.0,2,2,0,891.2222222222222,103403
2020-01-27,Wisconsin,Fond du Lac,55039.0,0,0,0.0,0.0,2,2,0,891.2222222222222,103403
2020-01-28,Wisconsin,Fond du Lac,55039.0,0,0,0.0,0.0,2,2,0,891.2222222222222,103403
2020-01-29,Wisconsin,Fond du Lac,55039.0,0,0,0.0,0.0,2,2,0,891.2222222222222,103403
2020-01-30,Wisconsin,Fond du Lac,55039.0,0,0,0.0,0.0,2,2,0,891.2222222222222,103403
2020-01-31,Wisconsin,Fond du Lac,55039.0,0,0,0.0,0.0,2,2,0,891.2222222222222,103403
2020-02-01,Wisconsin,Fond du Lac,55039.0,0,0,0.0,0.0,2,2,0,891.2222222222222,103403
2020-02-02,Wisconsin,Fond du Lac,55039.0,0,0,0.0,0.0,2,2,0,891.2222222222222,103403
2020-02-03,Wisconsin,Fond du Lac,55039.0,0,0,0.0,0.0,2,2,0,891.2222222222222,103403
2020-02-04,Wisconsin,Fond du Lac,55039.0,0,0,0.0,0.0,2,2,0,891.2222222222222,103403
2020-02-05,Wisconsin,Fond du Lac,55039.0,0,0,0.0,0.0,2,2,0,891.2222222222222,103403
2020-02-06,Wisconsin,Fond du Lac,55039.0,0,0,0.0,0.0,2,2,0,891.2222222222222,103403
2020-02-07,Wisconsin,Fond du Lac,55039.0,0,0,0.0,0.0,2,2,0,891.2222222222222,103403
2020-02-08,Wisconsin,Fond du Lac,55039.0,0,0,0.0,0.0,2,2,0,891.2222222222222,103403
2020-02-09,Wisconsin,Fond du Lac,55039.0,0,0,0.0,0.0,2,2,0,891.2222222222222,103403
2020-02-10,Wisconsin,Fond du Lac,55039.0,0,0,0.0,0.0,2,2,0,891.2222222222222,103403
2020-02-11,Wisconsin,Fond du Lac,55039.0,0,0,0.0,0.0,2,2,0,891.2222222222222,103403
2020-02-12,Wisconsin,Fond du Lac,55039.0,0,0,0.0,0.0,2,2,0,891.2222222222222,103403
2020-02-13,Wisconsin,Fond du Lac,55039.0,0,0,0.0,0.0,2,2,0,891.2222222222222,103403
2020-02-14,Wisconsin,Fond du Lac,55039.0,0,0,0.0,0.0,2,2,0,891.2222222222222,103403
2020-02-15,Wisconsin,Fond du Lac,55039.0,0,0,0.0,0.0,2,2,0,891.2222222222222,103403
2020-02-16,Wisconsin,Fond du Lac,55039.0,0,0,0.0,0.0,2,2,0,891.2222222222222,103403
2020-02-17,Wisconsin,Fond du Lac,55039.0,0,0,0.0,0.0,2,2,0,891.2222222222222,103403
2020-02-18,Wisconsin,Fond du Lac,55039.0,0,0,0.0,0.0,2,2,0,891.2222222222222,103403
2020-02-19,Wisconsin,Fond du Lac,55039.0,0,0,0.0,0.0,2,2,0,891.2222222222222,103403
2020-02-20,Wisconsin,Fond du Lac,55039.0,0,0,0.0,0.0,2,2,0,891.2222222222222,103403
2020-02-21,Wisconsin,Fond du Lac,55039.0,0,0,0.0,0.0,2,2,0,891.2222222222222,103403
2020-02-22,Wisconsin,Fond du Lac,55039.0,0,0,0.0,0.0,2,2,0,891.2222222222222,103403
2020-02-23,Wisconsin,Fond du Lac,55039.0,0,0,0.0,0.0,2,2,0,891.2222222222222,103403
2020-02-24,Wisconsin,Fond du Lac,55039.0,0,0,0.0,0.0,2,2,0,891.2222222222222,103403
2020-02-25,Wisconsin,Fond du Lac,55039.0,0,0,0.0,0.0,2,2,0,891.2222222222222,103403
2020-02-26,Wisconsin,Fond du Lac,55039.0,0,0,0.0,0.0,2,2,0,891.2222222222222,103403
2020-02-27,Wisconsin,Fond du Lac,55039.0,0,0,0.0,0.0,2,2,0,891.2222222222222,103403
2020-02-28,Wisconsin,Fond du Lac,55039.0,0,0,0.0,0.0,2,2,0,891.2222222222222,103403
2020-02-29,Wisconsin,Fond du Lac,55039.0,0,0,0.0,0.0,2,2,0,891.2222222222222,103403
2020-03-01,Wisconsin,Fond du Lac,55039.0,0,0,0.0,0.0,2,2,0,891.2222222222222,103403
2020-03-02,Wisconsin,Fond du Lac,55039.0,0,0,0.0,0.0,2,2,0,891.2222222222222,103403
2020-03-03,Wisconsin,Fond du Lac,55039.0,0,0,0.0,0.0,2,2,0,891.2222222222222,103403
2020-03-04,Wisconsin,Fond du Lac,55039.0,0,0,0.0,0.0,2,2,0,891.2222222222222,103403
2020-03-05,Wisconsin,Fond du Lac,55039.0,0,0,0.0,0.0,2,2,0,891.2222222222222,103403
2020-03-06,Wisconsin,Fond du Lac,55039.0,0,0,0.0,0.0,2,2,0,891.2222222222222,103403
2020-03-07,Wisconsin,Fond du Lac,55039.0,0,0,0.0,0.0,2,2,0,891.2222222222222,103403
2020-03-08,Wisconsin,Fond du Lac,55039.0,0,0,0.0,0.0,2,2,0,891.2222222222222,103403
2020-03-09,Wisconsin,Fond du Lac,55039.0,0,0,0.0,0.0,2,2,0,891.2222222222222,103403
2020-03-10,Wisconsin,Fond du Lac,55039.0,0,0,0.0,0.0,2,2,0,891.2222222222222,103403
2020-03-11,Wisconsin,Fond du Lac,55039.0,0,0,0.0,0.0,2,2,0,891.2222222222222,103403
2020-03-12,Wisconsin,Fond du Lac,55039.0,2,0,2.0,0.0,2,2,0,891.2222222222222,103403
2020-03-13,Wisconsin,Fond du Lac,55039.0,6,0,4.0,0.0,2,2,0,891.2222222222222,103403
2020-03-14,Wisconsin,Fond du Lac,55039.0,6,0,0.0,0.0,2,2,0,891.2222222222222,103403
2020-03-15,Wisconsin,Fond du Lac,55039.0,7,0,1.0,0.0,2,2,0,891.2222222222222,103403
2020-03-16,Wisconsin,Fond du Lac,55039.0,11,0,4.0,0.0,2,2,0,891.2222222222222,103403
2020-03-17,Wisconsin,Fond du Lac,55039.0,12,0,1.0,0.0,2,2,0,891.2222222222222,103403
2020-03-18,Wisconsin,Fond du Lac,55039.0,13,0,1.0,0.0,2,2,0,891.2222222222222,103403
