date,state,county,fips,cases,deaths,cases_diff,deaths_diff,hospitalization_total,hospitalization_total_adult,hospitalization_total_pediatric,household_median_income,population
2020-01-22,Wisconsin,Douglas,55031.0,0,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-01-23,Wisconsin,Douglas,55031.0,0,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-01-24,Wisconsin,Douglas,55031.0,0,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-01-25,Wisconsin,Douglas,55031.0,0,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-01-26,Wisconsin,Douglas,55031.0,0,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-01-27,Wisconsin,Douglas,55031.0,0,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-01-28,Wisconsin,Douglas,55031.0,0,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-01-29,Wisconsin,Douglas,55031.0,0,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-01-30,Wisconsin,Douglas,55031.0,0,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-01-31,Wisconsin,Douglas,55031.0,0,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-02-01,Wisconsin,Douglas,55031.0,0,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-02-02,Wisconsin,Douglas,55031.0,0,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-02-03,Wisconsin,Douglas,55031.0,0,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-02-04,Wisconsin,Douglas,55031.0,0,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-02-05,Wisconsin,Douglas,55031.0,0,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-02-06,Wisconsin,Douglas,55031.0,0,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-02-07,Wisconsin,Douglas,55031.0,0,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-02-08,Wisconsin,Douglas,55031.0,0,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-02-09,Wisconsin,Douglas,55031.0,0,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-02-10,Wisconsin,Douglas,55031.0,0,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-02-11,Wisconsin,Douglas,55031.0,0,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-02-12,Wisconsin,Douglas,55031.0,0,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-02-13,Wisconsin,Douglas,55031.0,0,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-02-14,Wisconsin,Douglas,55031.0,0,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-02-15,Wisconsin,Douglas,55031.0,0,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-02-16,Wisconsin,Douglas,55031.0,0,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-02-17,Wisconsin,Douglas,55031.0,0,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-02-18,Wisconsin,Douglas,55031.0,0,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-02-19,Wisconsin,Douglas,55031.0,0,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-02-20,Wisconsin,Douglas,55031.0,0,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-02-21,Wisconsin,Douglas,55031.0,0,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-02-22,Wisconsin,Douglas,55031.0,0,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-02-23,Wisconsin,Douglas,55031.0,0,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-02-24,Wisconsin,Douglas,55031.0,0,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-02-25,Wisconsin,Douglas,55031.0,0,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-02-26,Wisconsin,Douglas,55031.0,0,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-02-27,Wisconsin,Douglas,55031.0,0,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-02-28,Wisconsin,Douglas,55031.0,0,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-02-29,Wisconsin,Douglas,55031.0,0,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-03-01,Wisconsin,Douglas,55031.0,0,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-03-02,Wisconsin,Douglas,55031.0,0,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-03-03,Wisconsin,Douglas,55031.0,0,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-03-04,Wisconsin,Douglas,55031.0,0,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-03-05,Wisconsin,Douglas,55031.0,0,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-03-06,Wisconsin,Douglas,55031.0,0,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-03-07,Wisconsin,Douglas,55031.0,0,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-03-08,Wisconsin,Douglas,55031.0,0,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-03-09,Wisconsin,Douglas,55031.0,0,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-03-10,Wisconsin,Douglas,55031.0,0,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-03-11,Wisconsin,Douglas,55031.0,0,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-03-12,Wisconsin,Douglas,55031.0,0,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-03-13,Wisconsin,Douglas,55031.0,0,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-03-14,Wisconsin,Douglas,55031.0,0,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-03-15,Wisconsin,Douglas,55031.0,0,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-03-16,Wisconsin,Douglas,55031.0,0,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-03-17,Wisconsin,Douglas,55031.0,0,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-03-18,Wisconsin,Douglas,55031.0,0,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-03-19,Wisconsin,Douglas,55031.0,0,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-03-20,Wisconsin,Douglas,55031.0,1,0,1.0,0.0,2,2,0,891.2222222222222,351154
2020-03-21,Wisconsin,Douglas,55031.0,1,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-03-22,Wisconsin,Douglas,55031.0,1,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-03-23,Wisconsin,Douglas,55031.0,2,0,1.0,0.0,2,2,0,891.2222222222222,351154
2020-03-24,Wisconsin,Douglas,55031.0,4,0,2.0,0.0,2,2,0,891.2222222222222,351154
2020-03-25,Wisconsin,Douglas,55031.0,4,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-03-26,Wisconsin,Douglas,55031.0,4,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-03-27,Wisconsin,Douglas,55031.0,5,0,1.0,0.0,2,2,0,891.2222222222222,351154
2020-03-28,Wisconsin,Douglas,55031.0,6,0,1.0,0.0,2,2,0,891.2222222222222,351154
2020-03-29,Wisconsin,Douglas,55031.0,6,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-03-30,Wisconsin,Douglas,55031.0,6,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-03-31,Wisconsin,Douglas,55031.0,6,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-04-01,Wisconsin,Douglas,55031.0,7,0,1.0,0.0,2,2,0,891.2222222222222,351154
2020-04-02,Wisconsin,Douglas,55031.0,7,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-04-03,Wisconsin,Douglas,55031.0,7,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-04-04,Wisconsin,Douglas,55031.0,7,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-04-05,Wisconsin,Douglas,55031.0,7,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-04-06,Wisconsin,Douglas,55031.0,7,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-04-07,Wisconsin,Douglas,55031.0,7,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-04-08,Wisconsin,Douglas,55031.0,7,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-04-09,Wisconsin,Douglas,55031.0,7,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-04-10,Wisconsin,Douglas,55031.0,7,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-04-11,Wisconsin,Douglas,55031.0,7,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-04-12,Wisconsin,Douglas,55031.0,7,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-04-13,Wisconsin,Douglas,55031.0,7,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-04-14,Wisconsin,Douglas,55031.0,7,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-04-15,Wisconsin,Douglas,55031.0,7,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-04-16,Wisconsin,Douglas,55031.0,7,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-04-17,Wisconsin,Douglas,55031.0,7,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-04-18,Wisconsin,Douglas,55031.0,8,0,1.0,0.0,2,2,0,891.2222222222222,351154
2020-04-19,Wisconsin,Douglas,55031.0,8,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-04-20,Wisconsin,Douglas,55031.0,8,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-04-21,Wisconsin,Douglas,55031.0,8,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-04-22,Wisconsin,Douglas,55031.0,8,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-04-23,Wisconsin,Douglas,55031.0,9,0,1.0,0.0,2,2,0,891.2222222222222,351154
2020-04-24,Wisconsin,Douglas,55031.0,9,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-04-25,Wisconsin,Douglas,55031.0,9,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-04-26,Wisconsin,Douglas,55031.0,9,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-04-27,Wisconsin,Douglas,55031.0,9,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-04-28,Wisconsin,Douglas,55031.0,9,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-04-29,Wisconsin,Douglas,55031.0,9,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-04-30,Wisconsin,Douglas,55031.0,9,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-05-01,Wisconsin,Douglas,55031.0,9,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-05-02,Wisconsin,Douglas,55031.0,9,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-05-03,Wisconsin,Douglas,55031.0,9,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-05-04,Wisconsin,Douglas,55031.0,9,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-05-05,Wisconsin,Douglas,55031.0,9,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-05-06,Wisconsin,Douglas,55031.0,10,0,1.0,0.0,2,2,0,891.2222222222222,351154
2020-05-07,Wisconsin,Douglas,55031.0,10,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-05-08,Wisconsin,Douglas,55031.0,10,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-05-09,Wisconsin,Douglas,55031.0,11,0,1.0,0.0,2,2,0,891.2222222222222,351154
2020-05-10,Wisconsin,Douglas,55031.0,11,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-05-11,Wisconsin,Douglas,55031.0,11,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-05-12,Wisconsin,Douglas,55031.0,11,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-05-13,Wisconsin,Douglas,55031.0,11,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-05-14,Wisconsin,Douglas,55031.0,12,0,1.0,0.0,2,2,0,891.2222222222222,351154
2020-05-15,Wisconsin,Douglas,55031.0,12,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-05-16,Wisconsin,Douglas,55031.0,12,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-05-17,Wisconsin,Douglas,55031.0,12,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-05-18,Wisconsin,Douglas,55031.0,13,0,1.0,0.0,2,2,0,891.2222222222222,351154
2020-05-19,Wisconsin,Douglas,55031.0,15,0,2.0,0.0,2,2,0,891.2222222222222,351154
2020-05-20,Wisconsin,Douglas,55031.0,15,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-05-21,Wisconsin,Douglas,55031.0,15,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-05-22,Wisconsin,Douglas,55031.0,16,0,1.0,0.0,2,2,0,891.2222222222222,351154
2020-05-23,Wisconsin,Douglas,55031.0,17,0,1.0,0.0,2,2,0,891.2222222222222,351154
2020-05-24,Wisconsin,Douglas,55031.0,17,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-05-25,Wisconsin,Douglas,55031.0,18,0,1.0,0.0,2,2,0,891.2222222222222,351154
2020-05-26,Wisconsin,Douglas,55031.0,19,0,1.0,0.0,2,2,0,891.2222222222222,351154
2020-05-27,Wisconsin,Douglas,55031.0,19,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-05-28,Wisconsin,Douglas,55031.0,19,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-05-29,Wisconsin,Douglas,55031.0,19,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-05-30,Wisconsin,Douglas,55031.0,19,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-05-31,Wisconsin,Douglas,55031.0,19,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-06-01,Wisconsin,Douglas,55031.0,19,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-06-02,Wisconsin,Douglas,55031.0,19,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-06-03,Wisconsin,Douglas,55031.0,19,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-06-04,Wisconsin,Douglas,55031.0,19,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-06-05,Wisconsin,Douglas,55031.0,19,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-06-06,Wisconsin,Douglas,55031.0,20,0,1.0,0.0,2,2,0,891.2222222222222,351154
2020-06-07,Wisconsin,Douglas,55031.0,20,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-06-08,Wisconsin,Douglas,55031.0,20,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-06-09,Wisconsin,Douglas,55031.0,20,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-06-10,Wisconsin,Douglas,55031.0,20,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-06-11,Wisconsin,Douglas,55031.0,20,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-06-12,Wisconsin,Douglas,55031.0,20,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-06-13,Wisconsin,Douglas,55031.0,20,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-06-14,Wisconsin,Douglas,55031.0,20,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-06-15,Wisconsin,Douglas,55031.0,20,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-06-16,Wisconsin,Douglas,55031.0,20,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-06-17,Wisconsin,Douglas,55031.0,20,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-06-18,Wisconsin,Douglas,55031.0,20,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-06-19,Wisconsin,Douglas,55031.0,20,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-06-20,Wisconsin,Douglas,55031.0,20,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-06-21,Wisconsin,Douglas,55031.0,20,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-06-22,Wisconsin,Douglas,55031.0,20,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-06-23,Wisconsin,Douglas,55031.0,20,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-06-24,Wisconsin,Douglas,55031.0,20,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-06-25,Wisconsin,Douglas,55031.0,20,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-06-26,Wisconsin,Douglas,55031.0,22,0,2.0,0.0,2,2,0,891.2222222222222,351154
2020-06-27,Wisconsin,Douglas,55031.0,22,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-06-28,Wisconsin,Douglas,55031.0,24,0,2.0,0.0,2,2,0,891.2222222222222,351154
2020-06-29,Wisconsin,Douglas,55031.0,24,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-06-30,Wisconsin,Douglas,55031.0,25,0,1.0,0.0,2,2,0,891.2222222222222,351154
2020-07-01,Wisconsin,Douglas,55031.0,30,0,5.0,0.0,2,2,0,891.2222222222222,351154
2020-07-02,Wisconsin,Douglas,55031.0,31,0,1.0,0.0,2,2,0,891.2222222222222,351154
2020-07-03,Wisconsin,Douglas,55031.0,39,0,8.0,0.0,2,2,0,891.2222222222222,351154
2020-07-04,Wisconsin,Douglas,55031.0,39,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-07-05,Wisconsin,Douglas,55031.0,41,0,2.0,0.0,2,2,0,891.2222222222222,351154
2020-07-06,Wisconsin,Douglas,55031.0,41,0,0.0,0.0,2,2,0,891.2222222222222,351154
2020-07-07,Wisconsin,Douglas,55031.0,46,0,5.0,0.0,2,2,0,891.2222222222222,351154
2020-07-08,Wisconsin,Douglas,55031.0,47,0,1.0,0.0,2,2,0,891.2222222222222,351154
2020-07-09,Wisconsin,Douglas,55031.0,48,0,1.0,0.0,2,2,0,891.2222222222222,351154
2020-07-10,Wisconsin,Douglas,55031.0,50,0,2.0,0.0,2,2,0,891.2222222222222,351154
2020-07-11,Wisconsin,Douglas,55031.0,56,0,6.0,0.0,2,2,0,891.2222222222222,351154
2020-07-12,Wisconsin,Douglas,55031.0,60,0,4.0,0.0,2,2,0,891.2222222222222,351154
2020-07-13,Wisconsin,Douglas,55031.0,61,0,1.0,0.0,2,2,0,891.2222222222222,351154
2020-07-14,Wisconsin,Douglas,55031.0,63,0,2.0,0.0,2,2,0,891.2222222222222,351154
