date,state,county,fips,cases,deaths,cases_diff,deaths_diff,hospitalization_total,hospitalization_total_adult,hospitalization_total_pediatric,household_median_income,population
2020-01-22,Idaho,Madison,16065.0,0,0,0.0,0.0,1,1,0,1386.340909090909,372909
2020-01-23,Idaho,Madison,16065.0,0,0,0.0,0.0,1,1,0,1386.340909090909,372909
2020-01-24,Idaho,Madison,16065.0,0,0,0.0,0.0,1,1,0,1386.340909090909,372909
2020-01-25,Idaho,Madison,16065.0,0,0,0.0,0.0,1,1,0,1386.340909090909,372909
2020-01-26,Idaho,Madison,16065.0,0,0,0.0,0.0,1,1,0,1386.340909090909,372909
2020-01-27,Idaho,Madison,16065.0,0,0,0.0,0.0,1,1,0,1386.340909090909,372909
2020-01-28,Idaho,Madison,16065.0,0,0,0.0,0.0,1,1,0,1386.340909090909,372909
2020-01-29,Idaho,Madison,16065.0,0,0,0.0,0.0,1,1,0,1386.340909090909,372909
2020-01-30,Idaho,Madison,16065.0,0,0,0.0,0.0,1,1,0,1386.340909090909,372909
2020-01-31,Idaho,Madison,16065.0,0,0,0.0,0.0,1,1,0,1386.340909090909,372909
2020-02-01,Idaho,Madison,16065.0,0,0,0.0,0.0,1,1,0,1386.340909090909,372909
2020-02-02,Idaho,Madison,16065.0,0,0,0.0,0.0,1,1,0,1386.340909090909,372909
2020-02-03,Idaho,Madison,16065.0,0,0,0.0,0.0,1,1,0,1386.340909090909,372909
2020-02-04,Idaho,Madison,16065.0,0,0,0.0,0.0,1,1,0,1386.340909090909,372909
2020-02-05,Idaho,Madison,16065.0,0,0,0.0,0.0,1,1,0,1386.340909090909,372909
2020-02-06,Idaho,Madison,16065.0,0,0,0.0,0.0,1,1,0,1386.340909090909,372909
2020-02-07,Idaho,Madison,16065.0,0,0,0.0,0.0,1,1,0,1386.340909090909,372909
2020-02-08,Idaho,Madison,16065.0,0,0,0.0,0.0,1,1,0,1386.340909090909,372909
2020-02-09,Idaho,Madison,16065.0,0,0,0.0,0.0,1,1,0,1386.340909090909,372909
2020-02-10,Idaho,Madison,16065.0,0,0,0.0,0.0,1,1,0,1386.340909090909,372909
2020-02-11,Idaho,Madison,16065.0,0,0,0.0,0.0,1,1,0,1386.340909090909,372909
2020-02-12,Idaho,Madison,16065.0,0,0,0.0,0.0,1,1,0,1386.340909090909,372909
2020-02-13,Idaho,Madison,16065.0,0,0,0.0,0.0,1,1,0,1386.340909090909,372909
2020-02-14,Idaho,Madison,16065.0,0,0,0.0,0.0,1,1,0,1386.340909090909,372909
2020-02-15,Idaho,Madison,16065.0,0,0,0.0,0.0,1,1,0,1386.340909090909,372909
2020-02-16,Idaho,Madison,16065.0,0,0,0.0,0.0,1,1,0,1386.340909090909,372909
2020-02-17,Idaho,Madison,16065.0,0,0,0.0,0.0,1,1,0,1386.340909090909,372909
2020-02-18,Idaho,Madison,16065.0,0,0,0.0,0.0,1,1,0,1386.340909090909,372909
2020-02-19,Idaho,Madison,16065.0,0,0,0.0,0.0,1,1,0,1386.340909090909,372909
2020-02-20,Idaho,Madison,16065.0,0,0,0.0,0.0,1,1,0,1386.340909090909,372909
2020-02-21,Idaho,Madison,16065.0,0,0,0.0,0.0,1,1,0,1386.340909090909,372909
2020-02-22,Idaho,Madison,16065.0,0,0,0.0,0.0,1,1,0,1386.340909090909,372909
2020-02-23,Idaho,Madison,16065.0,0,0,0.0,0.0,1,1,0,1386.340909090909,372909
2020-02-24,Idaho,Madison,16065.0,0,0,0.0,0.0,1,1,0,1386.340909090909,372909
2020-02-25,Idaho,Madison,16065.0,0,0,0.0,0.0,1,1,0,1386.340909090909,372909
2020-02-26,Idaho,Madison,16065.0,0,0,0.0,0.0,1,1,0,1386.340909090909,372909
2020-02-27,Idaho,Madison,16065.0,0,0,0.0,0.0,1,1,0,1386.340909090909,372909
2020-02-28,Idaho,Madison,16065.0,0,0,0.0,0.0,1,1,0,1386.340909090909,372909
2020-02-29,Idaho,Madison,16065.0,0,0,0.0,0.0,1,1,0,1386.340909090909,372909
2020-03-01,Idaho,Madison,16065.0,0,0,0.0,0.0,1,1,0,1386.340909090909,372909
2020-03-02,Idaho,Madison,16065.0,0,0,0.0,0.0,1,1,0,1386.340909090909,372909
2020-03-03,Idaho,Madison,16065.0,0,0,0.0,0.0,1,1,0,1386.340909090909,372909
2020-03-04,Idaho,Madison,16065.0,0,0,0.0,0.0,1,1,0,1386.340909090909,372909
2020-03-05,Idaho,Madison,16065.0,0,0,0.0,0.0,1,1,0,1386.340909090909,372909
2020-03-06,Idaho,Madison,16065.0,0,0,0.0,0.0,1,1,0,1386.340909090909,372909
2020-03-07,Idaho,Madison,16065.0,0,0,0.0,0.0,1,1,0,1386.340909090909,372909
2020-03-08,Idaho,Madison,16065.0,0,0,0.0,0.0,1,1,0,1386.340909090909,372909
2020-03-09,Idaho,Madison,16065.0,0,0,0.0,0.0,1,1,0,1386.340909090909,372909
2020-03-10,Idaho,Madison,16065.0,0,0,0.0,0.0,1,1,0,1386.340909090909,372909
2020-03-11,Idaho,Madison,16065.0,0,0,0.0,0.0,1,1,0,1386.340909090909,372909
2020-03-12,Idaho,Madison,16065.0,0,0,0.0,0.0,1,1,0,1386.340909090909,372909
2020-03-13,Idaho,Madison,16065.0,0,0,0.0,0.0,1,1,0,1386.340909090909,372909
2020-03-14,Idaho,Madison,16065.0,0,0,0.0,0.0,1,1,0,1386.340909090909,372909
2020-03-15,Idaho,Madison,16065.0,0,0,0.0,0.0,1,1,0,1386.340909090909,372909
2020-03-16,Idaho,Madison,16065.0,0,0,0.0,0.0,1,1,0,1386.340909090909,372909
2020-03-17,Idaho,Madison,16065.0,1,0,1.0,0.0,1,1,0,1386.340909090909,372909
2020-03-18,Idaho,Madison,16065.0,1,0,0.0,0.0,1,1,0,1386.340909090909,372909
2020-03-19,Idaho,Madison,16065.0,1,0,0.0,0.0,1,1,0,1386.340909090909,372909
2020-03-20,Idaho,Madison,16065.0,1,0,0.0,0.0,1,1,0,1386.340909090909,372909
2020-03-21,Idaho,Madison,16065.0,1,0,0.0,0.0,1,1,0,1386.340909090909,372909
2020-03-22,Idaho,Madison,16065.0,1,0,0.0,0.0,1,1,0,1386.340909090909,372909
2020-03-23,Idaho,Madison,16065.0,2,0,1.0,0.0,1,1,0,1386.340909090909,372909
2020-03-24,Idaho,Madison,16065.0,2,0,0.0,0.0,1,1,0,1386.340909090909,372909
2020-03-25,Idaho,Madison,16065.0,2,0,0.0,0.0,1,1,0,1386.340909090909,372909
2020-03-26,Idaho,Madison,16065.0,2,0,0.0,0.0,1,1,0,1386.340909090909,372909
2020-03-27,Idaho,Madison,16065.0,2,0,0.0,0.0,1,1,0,1386.340909090909,372909
2020-03-28,Idaho,Madison,16065.0,2,0,0.0,0.0,1,1,0,1386.340909090909,372909
2020-03-29,Idaho,Madison,16065.0,2,0,0.0,0.0,1,1,0,1386.340909090909,372909
