date,state,county,fips,cases,deaths,cases_diff,deaths_diff,hospitalization_total,hospitalization_total_adult,hospitalization_total_pediatric,household_median_income,population
2020-01-22,Texas,Polk,48373.0,0,0,0.0,0.0,0,0,0,252.10236220472441,19964
2020-01-23,Texas,Polk,48373.0,0,0,0.0,0.0,0,0,0,252.10236220472441,19964
2020-01-24,Texas,Polk,48373.0,0,0,0.0,0.0,0,0,0,252.10236220472441,19964
2020-01-25,Texas,Polk,48373.0,0,0,0.0,0.0,0,0,0,252.10236220472441,19964
2020-01-26,Texas,Polk,48373.0,0,0,0.0,0.0,0,0,0,252.10236220472441,19964
2020-01-27,Texas,Polk,48373.0,0,0,0.0,0.0,0,0,0,252.10236220472441,19964
2020-01-28,Texas,Polk,48373.0,0,0,0.0,0.0,0,0,0,252.10236220472441,19964
2020-01-29,Texas,Polk,48373.0,0,0,0.0,0.0,0,0,0,252.10236220472441,19964
2020-01-30,Texas,Polk,48373.0,0,0,0.0,0.0,0,0,0,252.10236220472441,19964
2020-01-31,Texas,Polk,48373.0,0,0,0.0,0.0,0,0,0,252.10236220472441,19964
2020-02-01,Texas,Polk,48373.0,0,0,0.0,0.0,0,0,0,252.10236220472441,19964
2020-02-02,Texas,Polk,48373.0,0,0,0.0,0.0,0,0,0,252.10236220472441,19964
2020-02-03,Texas,Polk,48373.0,0,0,0.0,0.0,0,0,0,252.10236220472441,19964
2020-02-04,Texas,Polk,48373.0,0,0,0.0,0.0,0,0,0,252.10236220472441,19964
2020-02-05,Texas,Polk,48373.0,0,0,0.0,0.0,0,0,0,252.10236220472441,19964
2020-02-06,Texas,Polk,48373.0,0,0,0.0,0.0,0,0,0,252.10236220472441,19964
2020-02-07,Texas,Polk,48373.0,0,0,0.0,0.0,0,0,0,252.10236220472441,19964
2020-02-08,Texas,Polk,48373.0,0,0,0.0,0.0,0,0,0,252.10236220472441,19964
2020-02-09,Texas,Polk,48373.0,0,0,0.0,0.0,0,0,0,252.10236220472441,19964
2020-02-10,Texas,Polk,48373.0,0,0,0.0,0.0,0,0,0,252.10236220472441,19964
2020-02-11,Texas,Polk,48373.0,0,0,0.0,0.0,0,0,0,252.10236220472441,19964
2020-02-12,Texas,Polk,48373.0,0,0,0.0,0.0,0,0,0,252.10236220472441,19964
2020-02-13,Texas,Polk,48373.0,0,0,0.0,0.0,0,0,0,252.10236220472441,19964
2020-02-14,Texas,Polk,48373.0,0,0,0.0,0.0,0,0,0,252.10236220472441,19964
2020-02-15,Texas,Polk,48373.0,0,0,0.0,0.0,0,0,0,252.10236220472441,19964
2020-02-16,Texas,Polk,48373.0,0,0,0.0,0.0,0,0,0,252.10236220472441,19964
2020-02-17,Texas,Polk,48373.0,0,0,0.0,0.0,0,0,0,252.10236220472441,19964
2020-02-18,Texas,Polk,48373.0,0,0,0.0,0.0,0,0,0,252.10236220472441,19964
2020-02-19,Texas,Polk,48373.0,0,0,0.0,0.0,0,0,0,252.10236220472441,19964
2020-02-20,Texas,Polk,48373.0,0,0,0.0,0.0,0,0,0,252.10236220472441,19964
2020-02-21,Texas,Polk,48373.0,0,0,0.0,0.0,0,0,0,252.10236220472441,19964
2020-02-22,Texas,Polk,48373.0,0,0,0.0,0.0,0,0,0,252.10236220472441,19964
2020-02-23,Texas,Polk,48373.0,0,0,0.0,0.0,0,0,0,252.10236220472441,19964
2020-02-24,Texas,Polk,48373.0,0,0,0.0,0.0,0,0,0,252.10236220472441,19964
2020-02-25,Texas,Polk,48373.0,0,0,0.0,0.0,0,0,0,252.10236220472441,19964
2020-02-26,Texas,Polk,48373.0,0,0,0.0,0.0,0,0,0,252.10236220472441,19964
2020-02-27,Texas,Polk,48373.0,0,0,0.0,0.0,0,0,0,252.10236220472441,19964
2020-02-28,Texas,Polk,48373.0,0,0,0.0,0.0,0,0,0,252.10236220472441,19964
2020-02-29,Texas,Polk,48373.0,0,0,0.0,0.0,0,0,0,252.10236220472441,19964
2020-03-01,Texas,Polk,48373.0,0,0,0.0,0.0,0,0,0,252.10236220472441,19964
2020-03-02,Texas,Polk,48373.0,0,0,0.0,0.0,0,0,0,252.10236220472441,19964
2020-03-03,Texas,Polk,48373.0,0,0,0.0,0.0,0,0,0,252.10236220472441,19964
2020-03-04,Texas,Polk,48373.0,0,0,0.0,0.0,0,0,0,252.10236220472441,19964
2020-03-05,Texas,Polk,48373.0,0,0,0.0,0.0,0,0,0,252.10236220472441,19964
2020-03-06,Texas,Polk,48373.0,0,0,0.0,0.0,0,0,0,252.10236220472441,19964
2020-03-07,Texas,Polk,48373.0,0,0,0.0,0.0,0,0,0,252.10236220472441,19964
2020-03-08,Texas,Polk,48373.0,0,0,0.0,0.0,0,0,0,252.10236220472441,19964
2020-03-09,Texas,Polk,48373.0,0,0,0.0,0.0,0,0,0,252.10236220472441,19964
2020-03-10,Texas,Polk,48373.0,0,0,0.0,0.0,0,0,0,252.10236220472441,19964
2020-03-11,Texas,Polk,48373.0,0,0,0.0,0.0,0,0,0,252.10236220472441,19964
2020-03-12,Texas,Polk,48373.0,0,0,0.0,0.0,0,0,0,252.10236220472441,19964
2020-03-13,Texas,Polk,48373.0,0,0,0.0,0.0,0,0,0,252.10236220472441,19964
2020-03-14,Texas,Polk,48373.0,0,0,0.0,0.0,0,0,0,252.10236220472441,19964
2020-03-15,Texas,Polk,48373.0,0,0,0.0,0.0,0,0,0,252.10236220472441,19964
2020-03-16,Texas,Polk,48373.0,0,0,0.0,0.0,0,0,0,252.10236220472441,19964
2020-03-17,Texas,Polk,48373.0,0,0,0.0,0.0,0,0,0,252.10236220472441,19964
2020-03-18,Texas,Polk,48373.0,0,0,0.0,0.0,0,0,0,252.10236220472441,19964
2020-03-19,Texas,Polk,48373.0,0,0,0.0,0.0,0,0,0,252.10236220472441,19964
2020-03-20,Texas,Polk,48373.0,0,0,0.0,0.0,0,0,0,252.10236220472441,19964
2020-03-21,Texas,Polk,48373.0,0,0,0.0,0.0,0,0,0,252.10236220472441,19964
2020-03-22,Texas,Polk,48373.0,0,0,0.0,0.0,0,0,0,252.10236220472441,19964
2020-03-23,Texas,Polk,48373.0,0,0,0.0,0.0,0,0,0,252.10236220472441,19964
2020-03-24,Texas,Polk,48373.0,0,0,0.0,0.0,0,0,0,252.10236220472441,19964
2020-03-25,Texas,Polk,48373.0,0,0,0.0,0.0,0,0,0,252.10236220472441,19964
2020-03-26,Texas,Polk,48373.0,0,0,0.0,0.0,0,0,0,252.10236220472441,19964
2020-03-27,Texas,Polk,48373.0,0,0,0.0,0.0,0,0,0,252.10236220472441,19964
2020-03-28,Texas,Polk,48373.0,1,0,1.0,0.0,0,0,0,252.10236220472441,19964
2020-03-29,Texas,Polk,48373.0,1,0,0.0,0.0,0,0,0,252.10236220472441,19964
2020-03-30,Texas,Polk,48373.0,1,0,0.0,0.0,0,0,0,252.10236220472441,19964
2020-03-31,Texas,Polk,48373.0,4,0,3.0,0.0,0,0,0,252.10236220472441,19964
2020-04-01,Texas,Polk,48373.0,3,0,-1.0,0.0,0,0,0,252.10236220472441,19964
2020-04-02,Texas,Polk,48373.0,4,0,1.0,0.0,0,0,0,252.10236220472441,19964
2020-04-03,Texas,Polk,48373.0,4,0,0.0,0.0,0,0,0,252.10236220472441,19964
2020-04-04,Texas,Polk,48373.0,4,0,0.0,0.0,0,0,0,252.10236220472441,19964
2020-04-05,Texas,Polk,48373.0,4,0,0.0,0.0,1,1,0,252.10236220472441,19964
2020-04-06,Texas,Polk,48373.0,4,0,0.0,0.0,1,1,0,252.10236220472441,19964
2020-04-07,Texas,Polk,48373.0,4,0,0.0,0.0,1,1,0,252.10236220472441,19964
2020-04-08,Texas,Polk,48373.0,4,0,0.0,0.0,1,1,0,252.10236220472441,19964
2020-04-09,Texas,Polk,48373.0,4,0,0.0,0.0,1,1,0,252.10236220472441,19964
2020-04-10,Texas,Polk,48373.0,4,0,0.0,0.0,1,1,0,252.10236220472441,19964
2020-04-11,Texas,Polk,48373.0,4,0,0.0,0.0,1,1,0,252.10236220472441,19964
2020-04-12,Texas,Polk,48373.0,4,0,0.0,0.0,1,1,0,252.10236220472441,19964
2020-04-13,Texas,Polk,48373.0,4,0,0.0,0.0,1,1,0,252.10236220472441,19964
2020-04-14,Texas,Polk,48373.0,4,0,0.0,0.0,1,1,0,252.10236220472441,19964
