date,state,county,fips,cases,deaths,cases_diff,deaths_diff,hospitalization_total,hospitalization_total_adult,hospitalization_total_pediatric,household_median_income,population
2020-01-22,Iowa,Des Moines,19057.0,0,0,0.0,0.0,0,0,0,623.1414141414141,38967
2020-01-23,Iowa,Des Moines,19057.0,0,0,0.0,0.0,0,0,0,623.1414141414141,38967
2020-01-24,Iowa,Des Moines,19057.0,0,0,0.0,0.0,0,0,0,623.1414141414141,38967
2020-01-25,Iowa,Des Moines,19057.0,0,0,0.0,0.0,0,0,0,623.1414141414141,38967
2020-01-26,Iowa,Des Moines,19057.0,0,0,0.0,0.0,0,0,0,623.1414141414141,38967
2020-01-27,Iowa,Des Moines,19057.0,0,0,0.0,0.0,0,0,0,623.1414141414141,38967
2020-01-28,Iowa,Des Moines,19057.0,0,0,0.0,0.0,0,0,0,623.1414141414141,38967
2020-01-29,Iowa,Des Moines,19057.0,0,0,0.0,0.0,0,0,0,623.1414141414141,38967
2020-01-30,Iowa,Des Moines,19057.0,0,0,0.0,0.0,0,0,0,623.1414141414141,38967
2020-01-31,Iowa,Des Moines,19057.0,0,0,0.0,0.0,0,0,0,623.1414141414141,38967
2020-02-01,Iowa,Des Moines,19057.0,0,0,0.0,0.0,0,0,0,623.1414141414141,38967
2020-02-02,Iowa,Des Moines,19057.0,0,0,0.0,0.0,0,0,0,623.1414141414141,38967
2020-02-03,Iowa,Des Moines,19057.0,0,0,0.0,0.0,0,0,0,623.1414141414141,38967
2020-02-04,Iowa,Des Moines,19057.0,0,0,0.0,0.0,0,0,0,623.1414141414141,38967
2020-02-05,Iowa,Des Moines,19057.0,0,0,0.0,0.0,0,0,0,623.1414141414141,38967
2020-02-06,Iowa,Des Moines,19057.0,0,0,0.0,0.0,0,0,0,623.1414141414141,38967
2020-02-07,Iowa,Des Moines,19057.0,0,0,0.0,0.0,0,0,0,623.1414141414141,38967
2020-02-08,Iowa,Des Moines,19057.0,0,0,0.0,0.0,0,0,0,623.1414141414141,38967
2020-02-09,Iowa,Des Moines,19057.0,0,0,0.0,0.0,0,0,0,623.1414141414141,38967
2020-02-10,Iowa,Des Moines,19057.0,0,0,0.0,0.0,0,0,0,623.1414141414141,38967
2020-02-11,Iowa,Des Moines,19057.0,0,0,0.0,0.0,0,0,0,623.1414141414141,38967
2020-02-12,Iowa,Des Moines,19057.0,0,0,0.0,0.0,0,0,0,623.1414141414141,38967
2020-02-13,Iowa,Des Moines,19057.0,0,0,0.0,0.0,0,0,0,623.1414141414141,38967
2020-02-14,Iowa,Des Moines,19057.0,0,0,0.0,0.0,0,0,0,623.1414141414141,38967
2020-02-15,Iowa,Des Moines,19057.0,0,0,0.0,0.0,0,0,0,623.1414141414141,38967
2020-02-16,Iowa,Des Moines,19057.0,0,0,0.0,0.0,0,0,0,623.1414141414141,38967
2020-02-17,Iowa,Des Moines,19057.0,0,0,0.0,0.0,0,0,0,623.1414141414141,38967
2020-02-18,Iowa,Des Moines,19057.0,0,0,0.0,0.0,0,0,0,623.1414141414141,38967
2020-02-19,Iowa,Des Moines,19057.0,0,0,0.0,0.0,0,0,0,623.1414141414141,38967
2020-02-20,Iowa,Des Moines,19057.0,0,0,0.0,0.0,0,0,0,623.1414141414141,38967
2020-02-21,Iowa,Des Moines,19057.0,0,0,0.0,0.0,0,0,0,623.1414141414141,38967
2020-02-22,Iowa,Des Moines,19057.0,0,0,0.0,0.0,0,0,0,623.1414141414141,38967
2020-02-23,Iowa,Des Moines,19057.0,0,0,0.0,0.0,0,0,0,623.1414141414141,38967
2020-02-24,Iowa,Des Moines,19057.0,0,0,0.0,0.0,0,0,0,623.1414141414141,38967
2020-02-25,Iowa,Des Moines,19057.0,0,0,0.0,0.0,0,0,0,623.1414141414141,38967
2020-02-26,Iowa,Des Moines,19057.0,0,0,0.0,0.0,0,0,0,623.1414141414141,38967
2020-02-27,Iowa,Des Moines,19057.0,0,0,0.0,0.0,0,0,0,623.1414141414141,38967
2020-02-28,Iowa,Des Moines,19057.0,0,0,0.0,0.0,0,0,0,623.1414141414141,38967
2020-02-29,Iowa,Des Moines,19057.0,0,0,0.0,0.0,0,0,0,623.1414141414141,38967
2020-03-01,Iowa,Des Moines,19057.0,0,0,0.0,0.0,0,0,0,623.1414141414141,38967
2020-03-02,Iowa,Des Moines,19057.0,0,0,0.0,0.0,0,0,0,623.1414141414141,38967
2020-03-03,Iowa,Des Moines,19057.0,0,0,0.0,0.0,0,0,0,623.1414141414141,38967
2020-03-04,Iowa,Des Moines,19057.0,0,0,0.0,0.0,0,0,0,623.1414141414141,38967
2020-03-05,Iowa,Des Moines,19057.0,0,0,0.0,0.0,0,0,0,623.1414141414141,38967
2020-03-06,Iowa,Des Moines,19057.0,0,0,0.0,0.0,0,0,0,623.1414141414141,38967
2020-03-07,Iowa,Des Moines,19057.0,0,0,0.0,0.0,0,0,0,623.1414141414141,38967
2020-03-08,Iowa,Des Moines,19057.0,0,0,0.0,0.0,0,0,0,623.1414141414141,38967
2020-03-09,Iowa,Des Moines,19057.0,0,0,0.0,0.0,0,0,0,623.1414141414141,38967
2020-03-10,Iowa,Des Moines,19057.0,0,0,0.0,0.0,0,0,0,623.1414141414141,38967
2020-03-11,Iowa,Des Moines,19057.0,0,0,0.0,0.0,0,0,0,623.1414141414141,38967
2020-03-12,Iowa,Des Moines,19057.0,0,0,0.0,0.0,0,0,0,623.1414141414141,38967
2020-03-13,Iowa,Des Moines,19057.0,0,0,0.0,0.0,0,0,0,623.1414141414141,38967
2020-03-14,Iowa,Des Moines,19057.0,0,0,0.0,0.0,0,0,0,623.1414141414141,38967
2020-03-15,Iowa,Des Moines,19057.0,0,0,0.0,0.0,0,0,0,623.1414141414141,38967
2020-03-16,Iowa,Des Moines,19057.0,0,0,0.0,0.0,0,0,0,623.1414141414141,38967
2020-03-17,Iowa,Des Moines,19057.0,0,0,0.0,0.0,0,0,0,623.1414141414141,38967
2020-03-18,Iowa,Des Moines,19057.0,0,0,0.0,0.0,0,0,0,623.1414141414141,38967
2020-03-19,Iowa,Des Moines,19057.0,0,0,0.0,0.0,0,0,0,623.1414141414141,38967
2020-03-20,Iowa,Des Moines,19057.0,0,0,0.0,0.0,0,0,0,623.1414141414141,38967
2020-03-21,Iowa,Des Moines,19057.0,0,0,0.0,0.0,0,0,0,623.1414141414141,38967
2020-03-22,Iowa,Des Moines,19057.0,0,0,0.0,0.0,0,0,0,623.1414141414141,38967
2020-03-23,Iowa,Des Moines,19057.0,0,0,0.0,0.0,0,0,0,623.1414141414141,38967
2020-03-24,Iowa,Des Moines,19057.0,0,0,0.0,0.0,0,0,0,623.1414141414141,38967
2020-03-25,Iowa,Des Moines,19057.0,1,0,1.0,0.0,0,0,0,623.1414141414141,38967
2020-03-26,Iowa,Des Moines,19057.0,1,0,0.0,0.0,0,0,0,623.1414141414141,38967
2020-03-27,Iowa,Des Moines,19057.0,1,0,0.0,0.0,0,0,0,623.1414141414141,38967
2020-03-28,Iowa,Des Moines,19057.0,1,0,0.0,0.0,0,0,0,623.1414141414141,38967
2020-03-29,Iowa,Des Moines,19057.0,1,0,0.0,0.0,0,0,0,623.1414141414141,38967
2020-03-30,Iowa,Des Moines,19057.0,1,0,0.0,0.0,0,0,0,623.1414141414141,38967
2020-03-31,Iowa,Des Moines,19057.0,1,0,0.0,0.0,0,0,0,623.1414141414141,38967
2020-04-01,Iowa,Des Moines,19057.0,2,0,1.0,0.0,0,0,0,623.1414141414141,38967
2020-04-02,Iowa,Des Moines,19057.0,1,0,-1.0,0.0,0,0,0,623.1414141414141,38967
2020-04-03,Iowa,Des Moines,19057.0,1,0,0.0,0.0,0,0,0,623.1414141414141,38967
2020-04-04,Iowa,Des Moines,19057.0,1,0,0.0,0.0,0,0,0,623.1414141414141,38967
2020-04-05,Iowa,Des Moines,19057.0,1,0,0.0,0.0,0,0,0,623.1414141414141,38967
2020-04-06,Iowa,Des Moines,19057.0,1,0,0.0,0.0,0,0,0,623.1414141414141,38967
2020-04-07,Iowa,Des Moines,19057.0,3,0,2.0,0.0,0,0,0,623.1414141414141,38967
2020-04-08,Iowa,Des Moines,19057.0,3,0,0.0,0.0,0,0,0,623.1414141414141,38967
2020-04-09,Iowa,Des Moines,19057.0,3,0,0.0,0.0,0,0,0,623.1414141414141,38967
2020-04-10,Iowa,Des Moines,19057.0,3,0,0.0,0.0,0,0,0,623.1414141414141,38967
2020-04-11,Iowa,Des Moines,19057.0,3,0,0.0,0.0,0,0,0,623.1414141414141,38967
2020-04-12,Iowa,Des Moines,19057.0,4,0,1.0,0.0,0,0,0,623.1414141414141,38967
2020-04-13,Iowa,Des Moines,19057.0,5,0,1.0,0.0,0,0,0,623.1414141414141,38967
