date,state,county,fips,cases,deaths,cases_diff,deaths_diff,hospitalization_total,hospitalization_total_adult,hospitalization_total_pediatric,household_median_income,population
2020-01-22,Missouri,Iron,29093.0,0,0,0.0,0.0,0,0,0,503.5877192982456,11066
2020-01-23,Missouri,Iron,29093.0,0,0,0.0,0.0,0,0,0,503.5877192982456,11066
2020-01-24,Missouri,Iron,29093.0,0,0,0.0,0.0,0,0,0,503.5877192982456,11066
2020-01-25,Missouri,Iron,29093.0,0,0,0.0,0.0,0,0,0,503.5877192982456,11066
2020-01-26,Missouri,Iron,29093.0,0,0,0.0,0.0,0,0,0,503.5877192982456,11066
2020-01-27,Missouri,Iron,29093.0,0,0,0.0,0.0,0,0,0,503.5877192982456,11066
2020-01-28,Missouri,Iron,29093.0,0,0,0.0,0.0,0,0,0,503.5877192982456,11066
2020-01-29,Missouri,Iron,29093.0,0,0,0.0,0.0,0,0,0,503.5877192982456,11066
2020-01-30,Missouri,Iron,29093.0,0,0,0.0,0.0,0,0,0,503.5877192982456,11066
2020-01-31,Missouri,Iron,29093.0,0,0,0.0,0.0,0,0,0,503.5877192982456,11066
2020-02-01,Missouri,Iron,29093.0,0,0,0.0,0.0,0,0,0,503.5877192982456,11066
2020-02-02,Missouri,Iron,29093.0,0,0,0.0,0.0,0,0,0,503.5877192982456,11066
2020-02-03,Missouri,Iron,29093.0,0,0,0.0,0.0,0,0,0,503.5877192982456,11066
2020-02-04,Missouri,Iron,29093.0,0,0,0.0,0.0,0,0,0,503.5877192982456,11066
2020-02-05,Missouri,Iron,29093.0,0,0,0.0,0.0,0,0,0,503.5877192982456,11066
2020-02-06,Missouri,Iron,29093.0,0,0,0.0,0.0,0,0,0,503.5877192982456,11066
2020-02-07,Missouri,Iron,29093.0,0,0,0.0,0.0,0,0,0,503.5877192982456,11066
2020-02-08,Missouri,Iron,29093.0,0,0,0.0,0.0,0,0,0,503.5877192982456,11066
2020-02-09,Missouri,Iron,29093.0,0,0,0.0,0.0,0,0,0,503.5877192982456,11066
2020-02-10,Missouri,Iron,29093.0,0,0,0.0,0.0,0,0,0,503.5877192982456,11066
2020-02-11,Missouri,Iron,29093.0,0,0,0.0,0.0,0,0,0,503.5877192982456,11066
2020-02-12,Missouri,Iron,29093.0,0,0,0.0,0.0,0,0,0,503.5877192982456,11066
2020-02-13,Missouri,Iron,29093.0,0,0,0.0,0.0,0,0,0,503.5877192982456,11066
2020-02-14,Missouri,Iron,29093.0,0,0,0.0,0.0,0,0,0,503.5877192982456,11066
2020-02-15,Missouri,Iron,29093.0,0,0,0.0,0.0,0,0,0,503.5877192982456,11066
2020-02-16,Missouri,Iron,29093.0,0,0,0.0,0.0,0,0,0,503.5877192982456,11066
2020-02-17,Missouri,Iron,29093.0,0,0,0.0,0.0,0,0,0,503.5877192982456,11066
2020-02-18,Missouri,Iron,29093.0,0,0,0.0,0.0,0,0,0,503.5877192982456,11066
2020-02-19,Missouri,Iron,29093.0,0,0,0.0,0.0,0,0,0,503.5877192982456,11066
2020-02-20,Missouri,Iron,29093.0,0,0,0.0,0.0,0,0,0,503.5877192982456,11066
2020-02-21,Missouri,Iron,29093.0,0,0,0.0,0.0,0,0,0,503.5877192982456,11066
2020-02-22,Missouri,Iron,29093.0,0,0,0.0,0.0,0,0,0,503.5877192982456,11066
2020-02-23,Missouri,Iron,29093.0,0,0,0.0,0.0,0,0,0,503.5877192982456,11066
2020-02-24,Missouri,Iron,29093.0,0,0,0.0,0.0,0,0,0,503.5877192982456,11066
2020-02-25,Missouri,Iron,29093.0,0,0,0.0,0.0,0,0,0,503.5877192982456,11066
2020-02-26,Missouri,Iron,29093.0,0,0,0.0,0.0,0,0,0,503.5877192982456,11066
2020-02-27,Missouri,Iron,29093.0,0,0,0.0,0.0,0,0,0,503.5877192982456,11066
2020-02-28,Missouri,Iron,29093.0,0,0,0.0,0.0,0,0,0,503.5877192982456,11066
2020-02-29,Missouri,Iron,29093.0,0,0,0.0,0.0,0,0,0,503.5877192982456,11066
2020-03-01,Missouri,Iron,29093.0,0,0,0.0,0.0,0,0,0,503.5877192982456,11066
2020-03-02,Missouri,Iron,29093.0,0,0,0.0,0.0,0,0,0,503.5877192982456,11066
2020-03-03,Missouri,Iron,29093.0,0,0,0.0,0.0,0,0,0,503.5877192982456,11066
2020-03-04,Missouri,Iron,29093.0,0,0,0.0,0.0,0,0,0,503.5877192982456,11066
2020-03-05,Missouri,Iron,29093.0,0,0,0.0,0.0,0,0,0,503.5877192982456,11066
2020-03-06,Missouri,Iron,29093.0,0,0,0.0,0.0,0,0,0,503.5877192982456,11066
2020-03-07,Missouri,Iron,29093.0,0,0,0.0,0.0,0,0,0,503.5877192982456,11066
2020-03-08,Missouri,Iron,29093.0,0,0,0.0,0.0,0,0,0,503.5877192982456,11066
2020-03-09,Missouri,Iron,29093.0,0,0,0.0,0.0,0,0,0,503.5877192982456,11066
2020-03-10,Missouri,Iron,29093.0,0,0,0.0,0.0,0,0,0,503.5877192982456,11066
2020-03-11,Missouri,Iron,29093.0,0,0,0.0,0.0,0,0,0,503.5877192982456,11066
2020-03-12,Missouri,Iron,29093.0,0,0,0.0,0.0,0,0,0,503.5877192982456,11066
2020-03-13,Missouri,Iron,29093.0,0,0,0.0,0.0,0,0,0,503.5877192982456,11066
2020-03-14,Missouri,Iron,29093.0,0,0,0.0,0.0,0,0,0,503.5877192982456,11066
2020-03-15,Missouri,Iron,29093.0,0,0,0.0,0.0,0,0,0,503.5877192982456,11066
2020-03-16,Missouri,Iron,29093.0,0,0,0.0,0.0,0,0,0,503.5877192982456,11066
2020-03-17,Missouri,Iron,29093.0,0,0,0.0,0.0,0,0,0,503.5877192982456,11066
2020-03-18,Missouri,Iron,29093.0,0,0,0.0,0.0,0,0,0,503.5877192982456,11066
2020-03-19,Missouri,Iron,29093.0,0,0,0.0,0.0,0,0,0,503.5877192982456,11066
2020-03-20,Missouri,Iron,29093.0,0,0,0.0,0.0,0,0,0,503.5877192982456,11066
2020-03-21,Missouri,Iron,29093.0,0,0,0.0,0.0,0,0,0,503.5877192982456,11066
2020-03-22,Missouri,Iron,29093.0,0,0,0.0,0.0,0,0,0,503.5877192982456,11066
2020-03-23,Missouri,Iron,29093.0,0,0,0.0,0.0,0,0,0,503.5877192982456,11066
2020-03-24,Missouri,Iron,29093.0,0,0,0.0,0.0,0,0,0,503.5877192982456,11066
2020-03-25,Missouri,Iron,29093.0,0,0,0.0,0.0,0,0,0,503.5877192982456,11066
2020-03-26,Missouri,Iron,29093.0,0,0,0.0,0.0,0,0,0,503.5877192982456,11066
2020-03-27,Missouri,Iron,29093.0,0,0,0.0,0.0,0,0,0,503.5877192982456,11066
2020-03-28,Missouri,Iron,29093.0,0,0,0.0,0.0,0,0,0,503.5877192982456,11066
2020-03-29,Missouri,Iron,29093.0,0,0,0.0,0.0,0,0,0,503.5877192982456,11066
2020-03-30,Missouri,Iron,29093.0,0,0,0.0,0.0,0,0,0,503.5877192982456,11066
2020-03-31,Missouri,Iron,29093.0,0,0,0.0,0.0,0,0,0,503.5877192982456,11066
