date,state,county,fips,cases,deaths,cases_diff,deaths_diff,hospitalization_total,hospitalization_total_adult,hospitalization_total_pediatric,household_median_income,population
2020-01-22,Wisconsin,Vernon,55123.0,0,0,0.0,0.0,2,2,0,891.2222222222222,47429
2020-01-23,Wisconsin,Vernon,55123.0,0,0,0.0,0.0,2,2,0,891.2222222222222,47429
2020-01-24,Wisconsin,Vernon,55123.0,0,0,0.0,0.0,2,2,0,891.2222222222222,47429
2020-01-25,Wisconsin,Vernon,55123.0,0,0,0.0,0.0,2,2,0,891.2222222222222,47429
2020-01-26,Wisconsin,Vernon,55123.0,0,0,0.0,0.0,2,2,0,891.2222222222222,47429
2020-01-27,Wisconsin,Vernon,55123.0,0,0,0.0,0.0,2,2,0,891.2222222222222,47429
2020-01-28,Wisconsin,Vernon,55123.0,0,0,0.0,0.0,2,2,0,891.2222222222222,47429
2020-01-29,Wisconsin,Vernon,55123.0,0,0,0.0,0.0,2,2,0,891.2222222222222,47429
2020-01-30,Wisconsin,Vernon,55123.0,0,0,0.0,0.0,2,2,0,891.2222222222222,47429
2020-01-31,Wisconsin,Vernon,55123.0,0,0,0.0,0.0,2,2,0,891.2222222222222,47429
2020-02-01,Wisconsin,Vernon,55123.0,0,0,0.0,0.0,2,2,0,891.2222222222222,47429
2020-02-02,Wisconsin,Vernon,55123.0,0,0,0.0,0.0,2,2,0,891.2222222222222,47429
2020-02-03,Wisconsin,Vernon,55123.0,0,0,0.0,0.0,2,2,0,891.2222222222222,47429
2020-02-04,Wisconsin,Vernon,55123.0,0,0,0.0,0.0,2,2,0,891.2222222222222,47429
2020-02-05,Wisconsin,Vernon,55123.0,0,0,0.0,0.0,2,2,0,891.2222222222222,47429
2020-02-06,Wisconsin,Vernon,55123.0,0,0,0.0,0.0,2,2,0,891.2222222222222,47429
2020-02-07,Wisconsin,Vernon,55123.0,0,0,0.0,0.0,2,2,0,891.2222222222222,47429
2020-02-08,Wisconsin,Vernon,55123.0,0,0,0.0,0.0,2,2,0,891.2222222222222,47429
2020-02-09,Wisconsin,Vernon,55123.0,0,0,0.0,0.0,2,2,0,891.2222222222222,47429
2020-02-10,Wisconsin,Vernon,55123.0,0,0,0.0,0.0,2,2,0,891.2222222222222,47429
2020-02-11,Wisconsin,Vernon,55123.0,0,0,0.0,0.0,2,2,0,891.2222222222222,47429
2020-02-12,Wisconsin,Vernon,55123.0,0,0,0.0,0.0,2,2,0,891.2222222222222,47429
2020-02-13,Wisconsin,Vernon,55123.0,0,0,0.0,0.0,2,2,0,891.2222222222222,47429
2020-02-14,Wisconsin,Vernon,55123.0,0,0,0.0,0.0,2,2,0,891.2222222222222,47429
2020-02-15,Wisconsin,Vernon,55123.0,0,0,0.0,0.0,2,2,0,891.2222222222222,47429
2020-02-16,Wisconsin,Vernon,55123.0,0,0,0.0,0.0,2,2,0,891.2222222222222,47429
2020-02-17,Wisconsin,Vernon,55123.0,0,0,0.0,0.0,2,2,0,891.2222222222222,47429
2020-02-18,Wisconsin,Vernon,55123.0,0,0,0.0,0.0,2,2,0,891.2222222222222,47429
2020-02-19,Wisconsin,Vernon,55123.0,0,0,0.0,0.0,2,2,0,891.2222222222222,47429
2020-02-20,Wisconsin,Vernon,55123.0,0,0,0.0,0.0,2,2,0,891.2222222222222,47429
2020-02-21,Wisconsin,Vernon,55123.0,0,0,0.0,0.0,2,2,0,891.2222222222222,47429
2020-02-22,Wisconsin,Vernon,55123.0,0,0,0.0,0.0,2,2,0,891.2222222222222,47429
2020-02-23,Wisconsin,Vernon,55123.0,0,0,0.0,0.0,2,2,0,891.2222222222222,47429
2020-02-24,Wisconsin,Vernon,55123.0,0,0,0.0,0.0,2,2,0,891.2222222222222,47429
2020-02-25,Wisconsin,Vernon,55123.0,0,0,0.0,0.0,2,2,0,891.2222222222222,47429
2020-02-26,Wisconsin,Vernon,55123.0,0,0,0.0,0.0,2,2,0,891.2222222222222,47429
2020-02-27,Wisconsin,Vernon,55123.0,0,0,0.0,0.0,2,2,0,891.2222222222222,47429
2020-02-28,Wisconsin,Vernon,55123.0,0,0,0.0,0.0,2,2,0,891.2222222222222,47429
2020-02-29,Wisconsin,Vernon,55123.0,0,0,0.0,0.0,2,2,0,891.2222222222222,47429
2020-03-01,Wisconsin,Vernon,55123.0,0,0,0.0,0.0,2,2,0,891.2222222222222,47429
2020-03-02,Wisconsin,Vernon,55123.0,0,0,0.0,0.0,2,2,0,891.2222222222222,47429
2020-03-03,Wisconsin,Vernon,55123.0,0,0,0.0,0.0,2,2,0,891.2222222222222,47429
2020-03-04,Wisconsin,Vernon,55123.0,0,0,0.0,0.0,2,2,0,891.2222222222222,47429
