date,state,county,fips,cases,deaths,cases_diff,deaths_diff,hospitalization_total,hospitalization_total_adult,hospitalization_total_pediatric,household_median_income,population
2020-01-22,New York,Chenango,36017.0,0,0,0.0,0.0,2,2,0,1163.032258064516,47207
2020-01-23,New York,Chenango,36017.0,0,0,0.0,0.0,2,2,0,1163.032258064516,47207
2020-01-24,New York,Chenango,36017.0,0,0,0.0,0.0,2,2,0,1163.032258064516,47207
2020-01-25,New York,Chenango,36017.0,0,0,0.0,0.0,2,2,0,1163.032258064516,47207
2020-01-26,New York,Chenango,36017.0,0,0,0.0,0.0,2,2,0,1163.032258064516,47207
2020-01-27,New York,Chenango,36017.0,0,0,0.0,0.0,2,2,0,1163.032258064516,47207
2020-01-28,New York,Chenango,36017.0,0,0,0.0,0.0,2,2,0,1163.032258064516,47207
2020-01-29,New York,Chenango,36017.0,0,0,0.0,0.0,2,2,0,1163.032258064516,47207
2020-01-30,New York,Chenango,36017.0,0,0,0.0,0.0,2,2,0,1163.032258064516,47207
2020-01-31,New York,Chenango,36017.0,0,0,0.0,0.0,2,2,0,1163.032258064516,47207
2020-02-01,New York,Chenango,36017.0,0,0,0.0,0.0,2,2,0,1163.032258064516,47207
2020-02-02,New York,Chenango,36017.0,0,0,0.0,0.0,2,2,0,1163.032258064516,47207
2020-02-03,New York,Chenango,36017.0,0,0,0.0,0.0,2,2,0,1163.032258064516,47207
2020-02-04,New York,Chenango,36017.0,0,0,0.0,0.0,2,2,0,1163.032258064516,47207
2020-02-05,New York,Chenango,36017.0,0,0,0.0,0.0,2,2,0,1163.032258064516,47207
2020-02-06,New York,Chenango,36017.0,0,0,0.0,0.0,2,2,0,1163.032258064516,47207
2020-02-07,New York,Chenango,36017.0,0,0,0.0,0.0,2,2,0,1163.032258064516,47207
2020-02-08,New York,Chenango,36017.0,0,0,0.0,0.0,2,2,0,1163.032258064516,47207
2020-02-09,New York,Chenango,36017.0,0,0,0.0,0.0,2,2,0,1163.032258064516,47207
2020-02-10,New York,Chenango,36017.0,0,0,0.0,0.0,2,2,0,1163.032258064516,47207
2020-02-11,New York,Chenango,36017.0,0,0,0.0,0.0,2,2,0,1163.032258064516,47207
2020-02-12,New York,Chenango,36017.0,0,0,0.0,0.0,2,2,0,1163.032258064516,47207
2020-02-13,New York,Chenango,36017.0,0,0,0.0,0.0,2,2,0,1163.032258064516,47207
2020-02-14,New York,Chenango,36017.0,0,0,0.0,0.0,2,2,0,1163.032258064516,47207
2020-02-15,New York,Chenango,36017.0,0,0,0.0,0.0,2,2,0,1163.032258064516,47207
2020-02-16,New York,Chenango,36017.0,0,0,0.0,0.0,2,2,0,1163.032258064516,47207
2020-02-17,New York,Chenango,36017.0,0,0,0.0,0.0,2,2,0,1163.032258064516,47207
2020-02-18,New York,Chenango,36017.0,0,0,0.0,0.0,2,2,0,1163.032258064516,47207
2020-02-19,New York,Chenango,36017.0,0,0,0.0,0.0,2,2,0,1163.032258064516,47207
2020-02-20,New York,Chenango,36017.0,0,0,0.0,0.0,2,2,0,1163.032258064516,47207
2020-02-21,New York,Chenango,36017.0,0,0,0.0,0.0,2,2,0,1163.032258064516,47207
2020-02-22,New York,Chenango,36017.0,0,0,0.0,0.0,2,2,0,1163.032258064516,47207
2020-02-23,New York,Chenango,36017.0,0,0,0.0,0.0,2,2,0,1163.032258064516,47207
2020-02-24,New York,Chenango,36017.0,0,0,0.0,0.0,2,2,0,1163.032258064516,47207
2020-02-25,New York,Chenango,36017.0,0,0,0.0,0.0,2,2,0,1163.032258064516,47207
2020-02-26,New York,Chenango,36017.0,0,0,0.0,0.0,2,2,0,1163.032258064516,47207
2020-02-27,New York,Chenango,36017.0,0,0,0.0,0.0,2,2,0,1163.032258064516,47207
2020-02-28,New York,Chenango,36017.0,0,0,0.0,0.0,2,2,0,1163.032258064516,47207
2020-02-29,New York,Chenango,36017.0,0,0,0.0,0.0,2,2,0,1163.032258064516,47207
2020-03-01,New York,Chenango,36017.0,0,0,0.0,0.0,2,2,0,1163.032258064516,47207
2020-03-02,New York,Chenango,36017.0,0,0,0.0,0.0,2,2,0,1163.032258064516,47207
2020-03-03,New York,Chenango,36017.0,0,0,0.0,0.0,2,2,0,1163.032258064516,47207
2020-03-04,New York,Chenango,36017.0,0,0,0.0,0.0,2,2,0,1163.032258064516,47207
2020-03-05,New York,Chenango,36017.0,0,0,0.0,0.0,2,2,0,1163.032258064516,47207
2020-03-06,New York,Chenango,36017.0,0,0,0.0,0.0,2,2,0,1163.032258064516,47207
2020-03-07,New York,Chenango,36017.0,0,0,0.0,0.0,2,2,0,1163.032258064516,47207
2020-03-08,New York,Chenango,36017.0,0,0,0.0,0.0,2,2,0,1163.032258064516,47207
2020-03-09,New York,Chenango,36017.0,0,0,0.0,0.0,2,2,0,1163.032258064516,47207
2020-03-10,New York,Chenango,36017.0,0,0,0.0,0.0,2,2,0,1163.032258064516,47207
2020-03-11,New York,Chenango,36017.0,0,0,0.0,0.0,2,2,0,1163.032258064516,47207
2020-03-12,New York,Chenango,36017.0,0,0,0.0,0.0,2,2,0,1163.032258064516,47207
2020-03-13,New York,Chenango,36017.0,0,0,0.0,0.0,2,2,0,1163.032258064516,47207
2020-03-14,New York,Chenango,36017.0,0,0,0.0,0.0,2,2,0,1163.032258064516,47207
2020-03-15,New York,Chenango,36017.0,0,0,0.0,0.0,2,2,0,1163.032258064516,47207
2020-03-16,New York,Chenango,36017.0,0,0,0.0,0.0,2,2,0,1163.032258064516,47207
2020-03-17,New York,Chenango,36017.0,0,0,0.0,0.0,2,2,0,1163.032258064516,47207
2020-03-18,New York,Chenango,36017.0,1,0,1.0,0.0,2,2,0,1163.032258064516,47207
2020-03-19,New York,Chenango,36017.0,1,0,0.0,0.0,2,2,0,1163.032258064516,47207
2020-03-20,New York,Chenango,36017.0,1,0,0.0,0.0,3,3,0,1163.032258064516,47207
2020-03-21,New York,Chenango,36017.0,2,0,1.0,0.0,3,3,0,1163.032258064516,47207
2020-03-22,New York,Chenango,36017.0,2,0,0.0,0.0,4,4,0,1163.032258064516,47207
2020-03-23,New York,Chenango,36017.0,2,0,0.0,0.0,4,4,0,1163.032258064516,47207
2020-03-24,New York,Chenango,36017.0,3,0,1.0,0.0,5,5,0,1163.032258064516,47207
2020-03-25,New York,Chenango,36017.0,3,0,0.0,0.0,6,6,0,1163.032258064516,47207
2020-03-26,New York,Chenango,36017.0,3,0,0.0,0.0,7,7,0,1163.032258064516,47207
2020-03-27,New York,Chenango,36017.0,4,0,1.0,0.0,8,8,0,1163.032258064516,47207
2020-03-28,New York,Chenango,36017.0,8,0,4.0,0.0,9,9,0,1163.032258064516,47207
2020-03-29,New York,Chenango,36017.0,15,0,7.0,0.0,10,10,0,1163.032258064516,47207
2020-03-30,New York,Chenango,36017.0,17,0,2.0,0.0,11,11,0,1163.032258064516,47207
2020-03-31,New York,Chenango,36017.0,19,0,2.0,0.0,12,12,0,1163.032258064516,47207
2020-04-01,New York,Chenango,36017.0,26,0,7.0,0.0,14,13,0,1163.032258064516,47207
2020-04-02,New York,Chenango,36017.0,28,0,2.0,0.0,15,14,0,1163.032258064516,47207
2020-04-03,New York,Chenango,36017.0,32,0,4.0,0.0,16,16,0,1163.032258064516,47207
2020-04-04,New York,Chenango,36017.0,39,0,7.0,0.0,17,17,0,1163.032258064516,47207
2020-04-05,New York,Chenango,36017.0,43,0,4.0,0.0,18,17,0,1163.032258064516,47207
2020-04-06,New York,Chenango,36017.0,46,0,3.0,0.0,18,18,0,1163.032258064516,47207
2020-04-07,New York,Chenango,36017.0,51,0,5.0,0.0,19,18,0,1163.032258064516,47207
2020-04-08,New York,Chenango,36017.0,53,0,2.0,0.0,19,19,1,1163.032258064516,47207
2020-04-09,New York,Chenango,36017.0,55,0,2.0,0.0,19,19,1,1163.032258064516,47207
2020-04-10,New York,Chenango,36017.0,60,0,5.0,0.0,20,19,1,1163.032258064516,47207
2020-04-11,New York,Chenango,36017.0,61,0,1.0,0.0,0,0,0,1163.032258064516,47207
2020-04-12,New York,Chenango,36017.0,63,0,2.0,0.0,20,19,1,1163.032258064516,47207
2020-04-13,New York,Chenango,36017.0,65,0,2.0,0.0,20,19,1,1163.032258064516,47207
2020-04-14,New York,Chenango,36017.0,68,0,3.0,0.0,20,19,1,1163.032258064516,47207
2020-04-15,New York,Chenango,36017.0,71,0,3.0,0.0,19,19,1,1163.032258064516,47207
2020-04-16,New York,Chenango,36017.0,73,0,2.0,0.0,19,18,1,1163.032258064516,47207
2020-04-17,New York,Chenango,36017.0,76,0,3.0,0.0,18,18,0,1163.032258064516,47207
2020-04-18,New York,Chenango,36017.0,77,0,1.0,0.0,0,0,0,1163.032258064516,47207
2020-04-19,New York,Chenango,36017.0,78,0,1.0,0.0,17,17,0,1163.032258064516,47207
2020-04-20,New York,Chenango,36017.0,78,0,0.0,0.0,17,17,0,1163.032258064516,47207
2020-04-21,New York,Chenango,36017.0,79,0,1.0,0.0,17,17,0,1163.032258064516,47207
2020-04-22,New York,Chenango,36017.0,79,0,0.0,0.0,17,16,0,1163.032258064516,47207
2020-04-23,New York,Chenango,36017.0,82,0,3.0,0.0,16,16,0,1163.032258064516,47207
2020-04-24,New York,Chenango,36017.0,84,0,2.0,0.0,16,15,0,1163.032258064516,47207
2020-04-25,New York,Chenango,36017.0,91,0,7.0,0.0,0,0,0,1163.032258064516,47207
2020-04-26,New York,Chenango,36017.0,93,0,2.0,0.0,0,0,0,1163.032258064516,47207
2020-04-27,New York,Chenango,36017.0,95,0,2.0,0.0,0,0,0,1163.032258064516,47207
2020-04-28,New York,Chenango,36017.0,95,0,0.0,0.0,0,0,0,1163.032258064516,47207
2020-04-29,New York,Chenango,36017.0,96,0,1.0,0.0,0,0,0,1163.032258064516,47207
