date,state,county,fips,cases,deaths,cases_diff,deaths_diff,hospitalization_total,hospitalization_total_adult,hospitalization_total_pediatric,household_median_income,population
2020-01-22,Ohio,Knox,39083.0,0,0,0.0,0.0,1,1,0,666.3863636363636,49699
2020-01-23,Ohio,Knox,39083.0,0,0,0.0,0.0,1,1,0,666.3863636363636,49699
2020-01-24,Ohio,Knox,39083.0,0,0,0.0,0.0,1,1,0,666.3863636363636,49699
2020-01-25,Ohio,Knox,39083.0,0,0,0.0,0.0,1,1,0,666.3863636363636,49699
2020-01-26,Ohio,Knox,39083.0,0,0,0.0,0.0,1,1,0,666.3863636363636,49699
2020-01-27,Ohio,Knox,39083.0,0,0,0.0,0.0,1,1,0,666.3863636363636,49699
2020-01-28,Ohio,Knox,39083.0,0,0,0.0,0.0,1,1,0,666.3863636363636,49699
2020-01-29,Ohio,Knox,39083.0,0,0,0.0,0.0,1,1,0,666.3863636363636,49699
2020-01-30,Ohio,Knox,39083.0,0,0,0.0,0.0,1,1,0,666.3863636363636,49699
2020-01-31,Ohio,Knox,39083.0,0,0,0.0,0.0,1,1,0,666.3863636363636,49699
2020-02-01,Ohio,Knox,39083.0,0,0,0.0,0.0,1,1,0,666.3863636363636,49699
2020-02-02,Ohio,Knox,39083.0,0,0,0.0,0.0,1,1,0,666.3863636363636,49699
2020-02-03,Ohio,Knox,39083.0,0,0,0.0,0.0,1,1,0,666.3863636363636,49699
2020-02-04,Ohio,Knox,39083.0,0,0,0.0,0.0,1,1,0,666.3863636363636,49699
2020-02-05,Ohio,Knox,39083.0,0,0,0.0,0.0,1,1,0,666.3863636363636,49699
2020-02-06,Ohio,Knox,39083.0,0,0,0.0,0.0,1,1,0,666.3863636363636,49699
2020-02-07,Ohio,Knox,39083.0,0,0,0.0,0.0,1,1,0,666.3863636363636,49699
2020-02-08,Ohio,Knox,39083.0,0,0,0.0,0.0,1,1,0,666.3863636363636,49699
2020-02-09,Ohio,Knox,39083.0,0,0,0.0,0.0,1,1,0,666.3863636363636,49699
2020-02-10,Ohio,Knox,39083.0,0,0,0.0,0.0,1,1,0,666.3863636363636,49699
2020-02-11,Ohio,Knox,39083.0,0,0,0.0,0.0,1,1,0,666.3863636363636,49699
2020-02-12,Ohio,Knox,39083.0,0,0,0.0,0.0,1,1,0,666.3863636363636,49699
2020-02-13,Ohio,Knox,39083.0,0,0,0.0,0.0,1,1,0,666.3863636363636,49699
2020-02-14,Ohio,Knox,39083.0,0,0,0.0,0.0,1,1,0,666.3863636363636,49699
2020-02-15,Ohio,Knox,39083.0,0,0,0.0,0.0,1,1,0,666.3863636363636,49699
2020-02-16,Ohio,Knox,39083.0,0,0,0.0,0.0,1,1,0,666.3863636363636,49699
2020-02-17,Ohio,Knox,39083.0,0,0,0.0,0.0,1,1,0,666.3863636363636,49699
2020-02-18,Ohio,Knox,39083.0,0,0,0.0,0.0,1,1,0,666.3863636363636,49699
2020-02-19,Ohio,Knox,39083.0,0,0,0.0,0.0,1,1,0,666.3863636363636,49699
2020-02-20,Ohio,Knox,39083.0,0,0,0.0,0.0,1,1,0,666.3863636363636,49699
2020-02-21,Ohio,Knox,39083.0,0,0,0.0,0.0,1,1,0,666.3863636363636,49699
2020-02-22,Ohio,Knox,39083.0,0,0,0.0,0.0,1,1,0,666.3863636363636,49699
2020-02-23,Ohio,Knox,39083.0,0,0,0.0,0.0,1,1,0,666.3863636363636,49699
2020-02-24,Ohio,Knox,39083.0,0,0,0.0,0.0,1,1,0,666.3863636363636,49699
2020-02-25,Ohio,Knox,39083.0,0,0,0.0,0.0,1,1,0,666.3863636363636,49699
2020-02-26,Ohio,Knox,39083.0,0,0,0.0,0.0,1,1,0,666.3863636363636,49699
2020-02-27,Ohio,Knox,39083.0,0,0,0.0,0.0,1,1,0,666.3863636363636,49699
2020-02-28,Ohio,Knox,39083.0,0,0,0.0,0.0,1,1,0,666.3863636363636,49699
2020-02-29,Ohio,Knox,39083.0,0,0,0.0,0.0,1,1,0,666.3863636363636,49699
2020-03-01,Ohio,Knox,39083.0,0,0,0.0,0.0,1,1,0,666.3863636363636,49699
2020-03-02,Ohio,Knox,39083.0,0,0,0.0,0.0,1,1,0,666.3863636363636,49699
2020-03-03,Ohio,Knox,39083.0,0,0,0.0,0.0,1,1,0,666.3863636363636,49699
2020-03-04,Ohio,Knox,39083.0,0,0,0.0,0.0,1,1,0,666.3863636363636,49699
2020-03-05,Ohio,Knox,39083.0,0,0,0.0,0.0,1,1,0,666.3863636363636,49699
2020-03-06,Ohio,Knox,39083.0,0,0,0.0,0.0,1,1,0,666.3863636363636,49699
2020-03-07,Ohio,Knox,39083.0,0,0,0.0,0.0,1,1,0,666.3863636363636,49699
2020-03-08,Ohio,Knox,39083.0,0,0,0.0,0.0,1,1,0,666.3863636363636,49699
2020-03-09,Ohio,Knox,39083.0,0,0,0.0,0.0,1,1,0,666.3863636363636,49699
2020-03-10,Ohio,Knox,39083.0,0,0,0.0,0.0,1,1,0,666.3863636363636,49699
2020-03-11,Ohio,Knox,39083.0,0,0,0.0,0.0,1,1,0,666.3863636363636,49699
2020-03-12,Ohio,Knox,39083.0,0,0,0.0,0.0,1,1,0,666.3863636363636,49699
2020-03-13,Ohio,Knox,39083.0,0,0,0.0,0.0,1,1,0,666.3863636363636,49699
2020-03-14,Ohio,Knox,39083.0,0,0,0.0,0.0,1,1,0,666.3863636363636,49699
2020-03-15,Ohio,Knox,39083.0,0,0,0.0,0.0,1,1,0,666.3863636363636,49699
2020-03-16,Ohio,Knox,39083.0,0,0,0.0,0.0,1,1,0,666.3863636363636,49699
2020-03-17,Ohio,Knox,39083.0,0,0,0.0,0.0,1,1,0,666.3863636363636,49699
2020-03-18,Ohio,Knox,39083.0,0,0,0.0,0.0,1,1,0,666.3863636363636,49699
2020-03-19,Ohio,Knox,39083.0,0,0,0.0,0.0,1,1,0,666.3863636363636,49699
2020-03-20,Ohio,Knox,39083.0,0,0,0.0,0.0,1,1,0,666.3863636363636,49699
2020-03-21,Ohio,Knox,39083.0,0,0,0.0,0.0,1,1,0,666.3863636363636,49699
2020-03-22,Ohio,Knox,39083.0,1,0,1.0,0.0,1,1,0,666.3863636363636,49699
2020-03-23,Ohio,Knox,39083.0,1,0,0.0,0.0,1,1,0,666.3863636363636,49699
2020-03-24,Ohio,Knox,39083.0,1,0,0.0,0.0,1,1,0,666.3863636363636,49699
2020-03-25,Ohio,Knox,39083.0,2,0,1.0,0.0,1,1,0,666.3863636363636,49699
2020-03-26,Ohio,Knox,39083.0,2,0,0.0,0.0,1,1,0,666.3863636363636,49699
2020-03-27,Ohio,Knox,39083.0,2,0,0.0,0.0,1,1,0,666.3863636363636,49699
2020-03-28,Ohio,Knox,39083.0,2,0,0.0,0.0,1,1,0,666.3863636363636,49699
2020-03-29,Ohio,Knox,39083.0,3,0,1.0,0.0,1,1,0,666.3863636363636,49699
2020-03-30,Ohio,Knox,39083.0,3,0,0.0,0.0,2,1,0,666.3863636363636,49699
2020-03-31,Ohio,Knox,39083.0,4,0,1.0,0.0,2,1,0,666.3863636363636,49699
2020-04-01,Ohio,Knox,39083.0,4,1,0.0,1.0,2,1,0,666.3863636363636,49699
2020-04-02,Ohio,Knox,39083.0,5,1,1.0,0.0,2,1,0,666.3863636363636,49699
2020-04-03,Ohio,Knox,39083.0,5,1,0.0,0.0,2,1,0,666.3863636363636,49699
2020-04-04,Ohio,Knox,39083.0,6,1,1.0,0.0,2,2,0,666.3863636363636,49699
2020-04-05,Ohio,Knox,39083.0,7,1,1.0,0.0,2,2,0,666.3863636363636,49699
2020-04-06,Ohio,Knox,39083.0,7,1,0.0,0.0,2,2,0,666.3863636363636,49699
2020-04-07,Ohio,Knox,39083.0,7,1,0.0,0.0,2,2,0,666.3863636363636,49699
2020-04-08,Ohio,Knox,39083.0,7,1,0.0,0.0,2,2,0,666.3863636363636,49699
2020-04-09,Ohio,Knox,39083.0,8,1,1.0,0.0,2,2,0,666.3863636363636,49699
2020-04-10,Ohio,Knox,39083.0,9,1,1.0,0.0,2,2,0,666.3863636363636,49699
2020-04-11,Ohio,Knox,39083.0,9,1,0.0,0.0,2,2,0,666.3863636363636,49699
2020-04-12,Ohio,Knox,39083.0,10,1,1.0,0.0,2,2,0,666.3863636363636,49699
2020-04-13,Ohio,Knox,39083.0,10,1,0.0,0.0,2,2,0,666.3863636363636,49699
2020-04-14,Ohio,Knox,39083.0,10,1,0.0,0.0,2,2,0,666.3863636363636,49699
2020-04-15,Ohio,Knox,39083.0,10,1,0.0,0.0,2,2,0,666.3863636363636,49699
2020-04-16,Ohio,Knox,39083.0,11,1,1.0,0.0,2,2,0,666.3863636363636,49699
2020-04-17,Ohio,Knox,39083.0,11,1,0.0,0.0,2,2,0,666.3863636363636,49699
2020-04-18,Ohio,Knox,39083.0,11,1,0.0,0.0,2,2,0,666.3863636363636,49699
2020-04-19,Ohio,Knox,39083.0,11,1,0.0,0.0,2,2,0,666.3863636363636,49699
2020-04-20,Ohio,Knox,39083.0,13,1,2.0,0.0,2,2,0,666.3863636363636,49699
2020-04-21,Ohio,Knox,39083.0,13,1,0.0,0.0,2,2,0,666.3863636363636,49699
2020-04-22,Ohio,Knox,39083.0,13,1,0.0,0.0,2,2,0,666.3863636363636,49699
2020-04-23,Ohio,Knox,39083.0,14,1,1.0,0.0,2,2,0,666.3863636363636,49699
2020-04-24,Ohio,Knox,39083.0,15,1,1.0,0.0,2,2,0,666.3863636363636,49699
2020-04-25,Ohio,Knox,39083.0,15,1,0.0,0.0,2,2,0,666.3863636363636,49699
2020-04-26,Ohio,Knox,39083.0,15,1,0.0,0.0,2,2,0,666.3863636363636,49699
2020-04-27,Ohio,Knox,39083.0,15,1,0.0,0.0,2,2,0,666.3863636363636,49699
2020-04-28,Ohio,Knox,39083.0,15,1,0.0,0.0,2,2,0,666.3863636363636,49699
2020-04-29,Ohio,Knox,39083.0,16,1,1.0,0.0,2,2,0,666.3863636363636,49699
2020-04-30,Ohio,Knox,39083.0,16,1,0.0,0.0,2,2,0,666.3863636363636,49699
2020-05-01,Ohio,Knox,39083.0,16,1,0.0,0.0,2,2,0,666.3863636363636,49699
2020-05-02,Ohio,Knox,39083.0,18,1,2.0,0.0,2,2,0,666.3863636363636,49699
2020-05-03,Ohio,Knox,39083.0,18,1,0.0,0.0,2,2,0,666.3863636363636,49699
2020-05-04,Ohio,Knox,39083.0,19,1,1.0,0.0,2,2,0,666.3863636363636,49699
2020-05-05,Ohio,Knox,39083.0,19,1,0.0,0.0,2,2,0,666.3863636363636,49699
2020-05-06,Ohio,Knox,39083.0,20,1,1.0,0.0,2,2,0,666.3863636363636,49699
