date,state,county,fips,cases,deaths,cases_diff,deaths_diff,hospitalization_total,hospitalization_total_adult,hospitalization_total_pediatric,household_median_income,population
2020-01-22,Ohio,Erie,39043.0,0,0,0.0,0.0,1,1,0,60653.0,918702
2020-01-23,Ohio,Erie,39043.0,0,0,0.0,0.0,1,1,0,60653.0,918702
2020-01-24,Ohio,Erie,39043.0,0,0,0.0,0.0,1,1,0,60653.0,918702
2020-01-25,Ohio,Erie,39043.0,0,0,0.0,0.0,1,1,0,60653.0,918702
2020-01-26,Ohio,Erie,39043.0,0,0,0.0,0.0,1,1,0,60653.0,918702
2020-01-27,Ohio,Erie,39043.0,0,0,0.0,0.0,1,1,0,60653.0,918702
2020-01-28,Ohio,Erie,39043.0,0,0,0.0,0.0,1,1,0,60653.0,918702
2020-01-29,Ohio,Erie,39043.0,0,0,0.0,0.0,1,1,0,60653.0,918702
2020-01-30,Ohio,Erie,39043.0,0,0,0.0,0.0,1,1,0,60653.0,918702
2020-01-31,Ohio,Erie,39043.0,0,0,0.0,0.0,1,1,0,60653.0,918702
2020-02-01,Ohio,Erie,39043.0,0,0,0.0,0.0,1,1,0,60653.0,918702
2020-02-02,Ohio,Erie,39043.0,0,0,0.0,0.0,1,1,0,60653.0,918702
2020-02-03,Ohio,Erie,39043.0,0,0,0.0,0.0,1,1,0,60653.0,918702
2020-02-04,Ohio,Erie,39043.0,0,0,0.0,0.0,1,1,0,60653.0,918702
2020-02-05,Ohio,Erie,39043.0,0,0,0.0,0.0,1,1,0,60653.0,918702
2020-02-06,Ohio,Erie,39043.0,0,0,0.0,0.0,1,1,0,60653.0,918702
2020-02-07,Ohio,Erie,39043.0,0,0,0.0,0.0,1,1,0,60653.0,918702
2020-02-08,Ohio,Erie,39043.0,0,0,0.0,0.0,1,1,0,60653.0,918702
2020-02-09,Ohio,Erie,39043.0,0,0,0.0,0.0,1,1,0,60653.0,918702
2020-02-10,Ohio,Erie,39043.0,0,0,0.0,0.0,1,1,0,60653.0,918702
2020-02-11,Ohio,Erie,39043.0,0,0,0.0,0.0,1,1,0,60653.0,918702
2020-02-12,Ohio,Erie,39043.0,0,0,0.0,0.0,1,1,0,60653.0,918702
2020-02-13,Ohio,Erie,39043.0,0,0,0.0,0.0,1,1,0,60653.0,918702
2020-02-14,Ohio,Erie,39043.0,0,0,0.0,0.0,1,1,0,60653.0,918702
2020-02-15,Ohio,Erie,39043.0,0,0,0.0,0.0,1,1,0,60653.0,918702
2020-02-16,Ohio,Erie,39043.0,0,0,0.0,0.0,1,1,0,60653.0,918702
2020-02-17,Ohio,Erie,39043.0,0,0,0.0,0.0,1,1,0,60653.0,918702
2020-02-18,Ohio,Erie,39043.0,0,0,0.0,0.0,1,1,0,60653.0,918702
2020-02-19,Ohio,Erie,39043.0,0,0,0.0,0.0,1,1,0,60653.0,918702
2020-02-20,Ohio,Erie,39043.0,0,0,0.0,0.0,1,1,0,60653.0,918702
2020-02-21,Ohio,Erie,39043.0,0,0,0.0,0.0,1,1,0,60653.0,918702
2020-02-22,Ohio,Erie,39043.0,0,0,0.0,0.0,1,1,0,60653.0,918702
2020-02-23,Ohio,Erie,39043.0,0,0,0.0,0.0,1,1,0,60653.0,918702
2020-02-24,Ohio,Erie,39043.0,0,0,0.0,0.0,1,1,0,60653.0,918702
2020-02-25,Ohio,Erie,39043.0,0,0,0.0,0.0,1,1,0,60653.0,918702
2020-02-26,Ohio,Erie,39043.0,0,0,0.0,0.0,1,1,0,60653.0,918702
2020-02-27,Ohio,Erie,39043.0,0,0,0.0,0.0,1,1,0,60653.0,918702
2020-02-28,Ohio,Erie,39043.0,0,0,0.0,0.0,1,1,0,60653.0,918702
2020-02-29,Ohio,Erie,39043.0,0,0,0.0,0.0,1,1,0,60653.0,918702
2020-03-01,Ohio,Erie,39043.0,0,0,0.0,0.0,1,1,0,60653.0,918702
2020-03-02,Ohio,Erie,39043.0,0,0,0.0,0.0,1,1,0,60653.0,918702
2020-03-03,Ohio,Erie,39043.0,0,0,0.0,0.0,1,1,0,60653.0,918702
2020-03-04,Ohio,Erie,39043.0,0,0,0.0,0.0,1,1,0,60653.0,918702
2020-03-05,Ohio,Erie,39043.0,0,0,0.0,0.0,1,1,0,60653.0,918702
2020-03-06,Ohio,Erie,39043.0,0,0,0.0,0.0,1,1,0,60653.0,918702
2020-03-07,Ohio,Erie,39043.0,0,0,0.0,0.0,1,1,0,60653.0,918702
2020-03-08,Ohio,Erie,39043.0,0,0,0.0,0.0,1,1,0,60653.0,918702
2020-03-09,Ohio,Erie,39043.0,0,0,0.0,0.0,1,1,0,60653.0,918702
2020-03-10,Ohio,Erie,39043.0,0,0,0.0,0.0,1,1,0,60653.0,918702
2020-03-11,Ohio,Erie,39043.0,0,0,0.0,0.0,1,1,0,60653.0,918702
2020-03-12,Ohio,Erie,39043.0,0,0,0.0,0.0,1,1,0,60653.0,918702
