date,state,county,fips,cases,deaths,cases_diff,deaths_diff,hospitalization_total,hospitalization_total_adult,hospitalization_total_pediatric,household_median_income,population
2020-01-22,Michigan,Benzie,26019.0,0,0,0.0,0.0,5,5,0,717.8795180722891,17766
2020-01-23,Michigan,Benzie,26019.0,0,0,0.0,0.0,5,5,0,717.8795180722891,17766
2020-01-24,Michigan,Benzie,26019.0,0,0,0.0,0.0,5,5,0,717.8795180722891,17766
2020-01-25,Michigan,Benzie,26019.0,0,0,0.0,0.0,5,5,0,717.8795180722891,17766
2020-01-26,Michigan,Benzie,26019.0,0,0,0.0,0.0,5,5,0,717.8795180722891,17766
2020-01-27,Michigan,Benzie,26019.0,0,0,0.0,0.0,5,5,0,717.8795180722891,17766
2020-01-28,Michigan,Benzie,26019.0,0,0,0.0,0.0,5,5,0,717.8795180722891,17766
2020-01-29,Michigan,Benzie,26019.0,0,0,0.0,0.0,5,5,0,717.8795180722891,17766
2020-01-30,Michigan,Benzie,26019.0,0,0,0.0,0.0,5,5,0,717.8795180722891,17766
2020-01-31,Michigan,Benzie,26019.0,0,0,0.0,0.0,5,5,0,717.8795180722891,17766
2020-02-01,Michigan,Benzie,26019.0,0,0,0.0,0.0,5,5,0,717.8795180722891,17766
2020-02-02,Michigan,Benzie,26019.0,0,0,0.0,0.0,5,5,0,717.8795180722891,17766
2020-02-03,Michigan,Benzie,26019.0,0,0,0.0,0.0,5,5,0,717.8795180722891,17766
2020-02-04,Michigan,Benzie,26019.0,0,0,0.0,0.0,5,5,0,717.8795180722891,17766
2020-02-05,Michigan,Benzie,26019.0,0,0,0.0,0.0,5,5,0,717.8795180722891,17766
2020-02-06,Michigan,Benzie,26019.0,0,0,0.0,0.0,5,5,0,717.8795180722891,17766
2020-02-07,Michigan,Benzie,26019.0,0,0,0.0,0.0,5,5,0,717.8795180722891,17766
2020-02-08,Michigan,Benzie,26019.0,0,0,0.0,0.0,5,5,0,717.8795180722891,17766
2020-02-09,Michigan,Benzie,26019.0,0,0,0.0,0.0,5,5,0,717.8795180722891,17766
2020-02-10,Michigan,Benzie,26019.0,0,0,0.0,0.0,5,5,0,717.8795180722891,17766
2020-02-11,Michigan,Benzie,26019.0,0,0,0.0,0.0,5,5,0,717.8795180722891,17766
2020-02-12,Michigan,Benzie,26019.0,0,0,0.0,0.0,5,5,0,717.8795180722891,17766
2020-02-13,Michigan,Benzie,26019.0,0,0,0.0,0.0,5,5,0,717.8795180722891,17766
2020-02-14,Michigan,Benzie,26019.0,0,0,0.0,0.0,5,5,0,717.8795180722891,17766
2020-02-15,Michigan,Benzie,26019.0,0,0,0.0,0.0,5,5,0,717.8795180722891,17766
2020-02-16,Michigan,Benzie,26019.0,0,0,0.0,0.0,5,5,0,717.8795180722891,17766
2020-02-17,Michigan,Benzie,26019.0,0,0,0.0,0.0,5,5,0,717.8795180722891,17766
2020-02-18,Michigan,Benzie,26019.0,0,0,0.0,0.0,5,5,0,717.8795180722891,17766
2020-02-19,Michigan,Benzie,26019.0,0,0,0.0,0.0,5,5,0,717.8795180722891,17766
2020-02-20,Michigan,Benzie,26019.0,0,0,0.0,0.0,5,5,0,717.8795180722891,17766
2020-02-21,Michigan,Benzie,26019.0,0,0,0.0,0.0,5,5,0,717.8795180722891,17766
2020-02-22,Michigan,Benzie,26019.0,0,0,0.0,0.0,5,5,0,717.8795180722891,17766
2020-02-23,Michigan,Benzie,26019.0,0,0,0.0,0.0,5,5,0,717.8795180722891,17766
2020-02-24,Michigan,Benzie,26019.0,0,0,0.0,0.0,5,5,0,717.8795180722891,17766
2020-02-25,Michigan,Benzie,26019.0,0,0,0.0,0.0,5,5,0,717.8795180722891,17766
2020-02-26,Michigan,Benzie,26019.0,0,0,0.0,0.0,5,5,0,717.8795180722891,17766
2020-02-27,Michigan,Benzie,26019.0,0,0,0.0,0.0,5,5,0,717.8795180722891,17766
2020-02-28,Michigan,Benzie,26019.0,0,0,0.0,0.0,5,5,0,717.8795180722891,17766
2020-02-29,Michigan,Benzie,26019.0,0,0,0.0,0.0,5,5,0,717.8795180722891,17766
2020-03-01,Michigan,Benzie,26019.0,0,0,0.0,0.0,5,5,0,717.8795180722891,17766
2020-03-02,Michigan,Benzie,26019.0,0,0,0.0,0.0,5,5,0,717.8795180722891,17766
2020-03-03,Michigan,Benzie,26019.0,0,0,0.0,0.0,5,5,0,717.8795180722891,17766
2020-03-04,Michigan,Benzie,26019.0,0,0,0.0,0.0,5,5,0,717.8795180722891,17766
2020-03-05,Michigan,Benzie,26019.0,0,0,0.0,0.0,5,5,0,717.8795180722891,17766
