date,state,county,fips,cases,deaths,cases_diff,deaths_diff,hospitalization_total,hospitalization_total_adult,hospitalization_total_pediatric,household_median_income,population
2020-01-22,North Dakota,Adams,38001.0,0,0,0.0,0.0,0,0,0,1218.433962264151,517421
2020-01-23,North Dakota,Adams,38001.0,0,0,0.0,0.0,0,0,0,1218.433962264151,517421
2020-01-24,North Dakota,Adams,38001.0,0,0,0.0,0.0,0,0,0,1218.433962264151,517421
2020-01-25,North Dakota,Adams,38001.0,0,0,0.0,0.0,0,0,0,1218.433962264151,517421
2020-01-26,North Dakota,Adams,38001.0,0,0,0.0,0.0,0,0,0,1218.433962264151,517421
2020-01-27,North Dakota,Adams,38001.0,0,0,0.0,0.0,0,0,0,1218.433962264151,517421
2020-01-28,North Dakota,Adams,38001.0,0,0,0.0,0.0,0,0,0,1218.433962264151,517421
2020-01-29,North Dakota,Adams,38001.0,0,0,0.0,0.0,0,0,0,1218.433962264151,517421
2020-01-30,North Dakota,Adams,38001.0,0,0,0.0,0.0,0,0,0,1218.433962264151,517421
2020-01-31,North Dakota,Adams,38001.0,0,0,0.0,0.0,0,0,0,1218.433962264151,517421
2020-02-01,North Dakota,Adams,38001.0,0,0,0.0,0.0,0,0,0,1218.433962264151,517421
2020-02-02,North Dakota,Adams,38001.0,0,0,0.0,0.0,0,0,0,1218.433962264151,517421
2020-02-03,North Dakota,Adams,38001.0,0,0,0.0,0.0,0,0,0,1218.433962264151,517421
2020-02-04,North Dakota,Adams,38001.0,0,0,0.0,0.0,0,0,0,1218.433962264151,517421
2020-02-05,North Dakota,Adams,38001.0,0,0,0.0,0.0,0,0,0,1218.433962264151,517421
2020-02-06,North Dakota,Adams,38001.0,0,0,0.0,0.0,0,0,0,1218.433962264151,517421
2020-02-07,North Dakota,Adams,38001.0,0,0,0.0,0.0,0,0,0,1218.433962264151,517421
2020-02-08,North Dakota,Adams,38001.0,0,0,0.0,0.0,0,0,0,1218.433962264151,517421
2020-02-09,North Dakota,Adams,38001.0,0,0,0.0,0.0,0,0,0,1218.433962264151,517421
2020-02-10,North Dakota,Adams,38001.0,0,0,0.0,0.0,0,0,0,1218.433962264151,517421
2020-02-11,North Dakota,Adams,38001.0,0,0,0.0,0.0,0,0,0,1218.433962264151,517421
2020-02-12,North Dakota,Adams,38001.0,0,0,0.0,0.0,0,0,0,1218.433962264151,517421
2020-02-13,North Dakota,Adams,38001.0,0,0,0.0,0.0,0,0,0,1218.433962264151,517421
2020-02-14,North Dakota,Adams,38001.0,0,0,0.0,0.0,0,0,0,1218.433962264151,517421
2020-02-15,North Dakota,Adams,38001.0,0,0,0.0,0.0,0,0,0,1218.433962264151,517421
2020-02-16,North Dakota,Adams,38001.0,0,0,0.0,0.0,0,0,0,1218.433962264151,517421
2020-02-17,North Dakota,Adams,38001.0,0,0,0.0,0.0,0,0,0,1218.433962264151,517421
2020-02-18,North Dakota,Adams,38001.0,0,0,0.0,0.0,0,0,0,1218.433962264151,517421
2020-02-19,North Dakota,Adams,38001.0,0,0,0.0,0.0,0,0,0,1218.433962264151,517421
2020-02-20,North Dakota,Adams,38001.0,0,0,0.0,0.0,0,0,0,1218.433962264151,517421
2020-02-21,North Dakota,Adams,38001.0,0,0,0.0,0.0,0,0,0,1218.433962264151,517421
2020-02-22,North Dakota,Adams,38001.0,0,0,0.0,0.0,0,0,0,1218.433962264151,517421
2020-02-23,North Dakota,Adams,38001.0,0,0,0.0,0.0,0,0,0,1218.433962264151,517421
2020-02-24,North Dakota,Adams,38001.0,0,0,0.0,0.0,0,0,0,1218.433962264151,517421
2020-02-25,North Dakota,Adams,38001.0,0,0,0.0,0.0,0,0,0,1218.433962264151,517421
2020-02-26,North Dakota,Adams,38001.0,0,0,0.0,0.0,0,0,0,1218.433962264151,517421
2020-02-27,North Dakota,Adams,38001.0,0,0,0.0,0.0,0,0,0,1218.433962264151,517421
2020-02-28,North Dakota,Adams,38001.0,0,0,0.0,0.0,0,0,0,1218.433962264151,517421
2020-02-29,North Dakota,Adams,38001.0,0,0,0.0,0.0,0,0,0,1218.433962264151,517421
2020-03-01,North Dakota,Adams,38001.0,0,0,0.0,0.0,0,0,0,1218.433962264151,517421
2020-03-02,North Dakota,Adams,38001.0,0,0,0.0,0.0,0,0,0,1218.433962264151,517421
2020-03-03,North Dakota,Adams,38001.0,0,0,0.0,0.0,0,0,0,1218.433962264151,517421
2020-03-04,North Dakota,Adams,38001.0,0,0,0.0,0.0,0,0,0,1218.433962264151,517421
2020-03-05,North Dakota,Adams,38001.0,0,0,0.0,0.0,0,0,0,1218.433962264151,517421
2020-03-06,North Dakota,Adams,38001.0,0,0,0.0,0.0,0,0,0,1218.433962264151,517421
