date,state,county,fips,cases,deaths,cases_diff,deaths_diff,hospitalization_total,hospitalization_total_adult,hospitalization_total_pediatric,household_median_income,population
2020-01-22,Colorado,Broomfield,8014.0,0,0,0.0,0.0,1,1,0,111400.0,70465
2020-01-23,Colorado,Broomfield,8014.0,0,0,0.0,0.0,1,1,0,111400.0,70465
2020-01-24,Colorado,Broomfield,8014.0,0,0,0.0,0.0,1,1,0,111400.0,70465
2020-01-25,Colorado,Broomfield,8014.0,0,0,0.0,0.0,1,1,0,111400.0,70465
2020-01-26,Colorado,Broomfield,8014.0,0,0,0.0,0.0,1,1,0,111400.0,70465
2020-01-27,Colorado,Broomfield,8014.0,0,0,0.0,0.0,1,1,0,111400.0,70465
2020-01-28,Colorado,Broomfield,8014.0,0,0,0.0,0.0,1,1,0,111400.0,70465
2020-01-29,Colorado,Broomfield,8014.0,0,0,0.0,0.0,1,1,0,111400.0,70465
2020-01-30,Colorado,Broomfield,8014.0,0,0,0.0,0.0,1,1,0,111400.0,70465
2020-01-31,Colorado,Broomfield,8014.0,0,0,0.0,0.0,1,1,0,111400.0,70465
2020-02-01,Colorado,Broomfield,8014.0,0,0,0.0,0.0,1,1,0,111400.0,70465
2020-02-02,Colorado,Broomfield,8014.0,0,0,0.0,0.0,1,1,0,111400.0,70465
2020-02-03,Colorado,Broomfield,8014.0,0,0,0.0,0.0,1,1,0,111400.0,70465
2020-02-04,Colorado,Broomfield,8014.0,0,0,0.0,0.0,1,1,0,111400.0,70465
2020-02-05,Colorado,Broomfield,8014.0,0,0,0.0,0.0,1,1,0,111400.0,70465
2020-02-06,Colorado,Broomfield,8014.0,0,0,0.0,0.0,1,1,0,111400.0,70465
2020-02-07,Colorado,Broomfield,8014.0,0,0,0.0,0.0,1,1,0,111400.0,70465
2020-02-08,Colorado,Broomfield,8014.0,0,0,0.0,0.0,1,1,0,111400.0,70465
2020-02-09,Colorado,Broomfield,8014.0,0,0,0.0,0.0,1,1,0,111400.0,70465
2020-02-10,Colorado,Broomfield,8014.0,0,0,0.0,0.0,1,1,0,111400.0,70465
2020-02-11,Colorado,Broomfield,8014.0,0,0,0.0,0.0,1,1,0,111400.0,70465
2020-02-12,Colorado,Broomfield,8014.0,0,0,0.0,0.0,1,1,0,111400.0,70465
2020-02-13,Colorado,Broomfield,8014.0,0,0,0.0,0.0,1,1,0,111400.0,70465
2020-02-14,Colorado,Broomfield,8014.0,0,0,0.0,0.0,1,1,0,111400.0,70465
2020-02-15,Colorado,Broomfield,8014.0,0,0,0.0,0.0,1,1,0,111400.0,70465
2020-02-16,Colorado,Broomfield,8014.0,0,0,0.0,0.0,1,1,0,111400.0,70465
2020-02-17,Colorado,Broomfield,8014.0,0,0,0.0,0.0,1,1,0,111400.0,70465
2020-02-18,Colorado,Broomfield,8014.0,0,0,0.0,0.0,1,1,0,111400.0,70465
2020-02-19,Colorado,Broomfield,8014.0,0,0,0.0,0.0,1,1,0,111400.0,70465
2020-02-20,Colorado,Broomfield,8014.0,0,0,0.0,0.0,1,1,0,111400.0,70465
2020-02-21,Colorado,Broomfield,8014.0,0,0,0.0,0.0,1,1,0,111400.0,70465
2020-02-22,Colorado,Broomfield,8014.0,0,0,0.0,0.0,1,1,0,111400.0,70465
2020-02-23,Colorado,Broomfield,8014.0,0,0,0.0,0.0,1,1,0,111400.0,70465
2020-02-24,Colorado,Broomfield,8014.0,0,0,0.0,0.0,1,1,0,111400.0,70465
2020-02-25,Colorado,Broomfield,8014.0,0,0,0.0,0.0,1,1,0,111400.0,70465
2020-02-26,Colorado,Broomfield,8014.0,0,0,0.0,0.0,1,1,0,111400.0,70465
2020-02-27,Colorado,Broomfield,8014.0,0,0,0.0,0.0,1,1,0,111400.0,70465
2020-02-28,Colorado,Broomfield,8014.0,0,0,0.0,0.0,1,1,0,111400.0,70465
2020-02-29,Colorado,Broomfield,8014.0,0,0,0.0,0.0,1,1,0,111400.0,70465
2020-03-01,Colorado,Broomfield,8014.0,0,0,0.0,0.0,1,1,0,111400.0,70465
2020-03-02,Colorado,Broomfield,8014.0,0,0,0.0,0.0,1,1,0,111400.0,70465
2020-03-03,Colorado,Broomfield,8014.0,0,0,0.0,0.0,1,1,0,111400.0,70465
2020-03-04,Colorado,Broomfield,8014.0,0,0,0.0,0.0,1,1,0,111400.0,70465
2020-03-05,Colorado,Broomfield,8014.0,0,0,0.0,0.0,1,1,0,111400.0,70465
2020-03-06,Colorado,Broomfield,8014.0,0,0,0.0,0.0,1,1,0,111400.0,70465
2020-03-07,Colorado,Broomfield,8014.0,0,0,0.0,0.0,1,1,0,111400.0,70465
2020-03-08,Colorado,Broomfield,8014.0,0,0,0.0,0.0,1,1,0,111400.0,70465
2020-03-09,Colorado,Broomfield,8014.0,0,0,0.0,0.0,1,1,0,111400.0,70465
2020-03-10,Colorado,Broomfield,8014.0,0,0,0.0,0.0,1,1,0,111400.0,70465
2020-03-11,Colorado,Broomfield,8014.0,0,0,0.0,0.0,1,1,0,111400.0,70465
2020-03-12,Colorado,Broomfield,8014.0,0,0,0.0,0.0,1,1,0,111400.0,70465
2020-03-13,Colorado,Broomfield,8014.0,0,0,0.0,0.0,1,1,0,111400.0,70465
2020-03-14,Colorado,Broomfield,8014.0,0,0,0.0,0.0,1,1,0,111400.0,70465
2020-03-15,Colorado,Broomfield,8014.0,0,0,0.0,0.0,1,1,0,111400.0,70465
2020-03-16,Colorado,Broomfield,8014.0,0,0,0.0,0.0,1,1,0,111400.0,70465
2020-03-17,Colorado,Broomfield,8014.0,0,0,0.0,0.0,1,1,0,111400.0,70465
