date,state,county,fips,cases,deaths,cases_diff,deaths_diff,hospitalization_total,hospitalization_total_adult,hospitalization_total_pediatric,household_median_income,population
2020-01-22,Montana,Big Horn,30003.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,13319
2020-01-23,Montana,Big Horn,30003.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,13319
2020-01-24,Montana,Big Horn,30003.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,13319
2020-01-25,Montana,Big Horn,30003.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,13319
2020-01-26,Montana,Big Horn,30003.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,13319
2020-01-27,Montana,Big Horn,30003.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,13319
2020-01-28,Montana,Big Horn,30003.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,13319
2020-01-29,Montana,Big Horn,30003.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,13319
2020-01-30,Montana,Big Horn,30003.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,13319
2020-01-31,Montana,Big Horn,30003.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,13319
2020-02-01,Montana,Big Horn,30003.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,13319
2020-02-02,Montana,Big Horn,30003.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,13319
2020-02-03,Montana,Big Horn,30003.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,13319
2020-02-04,Montana,Big Horn,30003.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,13319
2020-02-05,Montana,Big Horn,30003.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,13319
2020-02-06,Montana,Big Horn,30003.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,13319
2020-02-07,Montana,Big Horn,30003.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,13319
2020-02-08,Montana,Big Horn,30003.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,13319
2020-02-09,Montana,Big Horn,30003.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,13319
2020-02-10,Montana,Big Horn,30003.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,13319
2020-02-11,Montana,Big Horn,30003.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,13319
2020-02-12,Montana,Big Horn,30003.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,13319
2020-02-13,Montana,Big Horn,30003.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,13319
2020-02-14,Montana,Big Horn,30003.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,13319
2020-02-15,Montana,Big Horn,30003.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,13319
2020-02-16,Montana,Big Horn,30003.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,13319
2020-02-17,Montana,Big Horn,30003.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,13319
2020-02-18,Montana,Big Horn,30003.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,13319
2020-02-19,Montana,Big Horn,30003.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,13319
2020-02-20,Montana,Big Horn,30003.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,13319
2020-02-21,Montana,Big Horn,30003.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,13319
2020-02-22,Montana,Big Horn,30003.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,13319
2020-02-23,Montana,Big Horn,30003.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,13319
2020-02-24,Montana,Big Horn,30003.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,13319
2020-02-25,Montana,Big Horn,30003.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,13319
2020-02-26,Montana,Big Horn,30003.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,13319
2020-02-27,Montana,Big Horn,30003.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,13319
2020-02-28,Montana,Big Horn,30003.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,13319
2020-02-29,Montana,Big Horn,30003.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,13319
2020-03-01,Montana,Big Horn,30003.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,13319
2020-03-02,Montana,Big Horn,30003.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,13319
2020-03-03,Montana,Big Horn,30003.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,13319
2020-03-04,Montana,Big Horn,30003.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,13319
2020-03-05,Montana,Big Horn,30003.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,13319
2020-03-06,Montana,Big Horn,30003.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,13319
2020-03-07,Montana,Big Horn,30003.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,13319
2020-03-08,Montana,Big Horn,30003.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,13319
2020-03-09,Montana,Big Horn,30003.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,13319
2020-03-10,Montana,Big Horn,30003.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,13319
2020-03-11,Montana,Big Horn,30003.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,13319
2020-03-12,Montana,Big Horn,30003.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,13319
2020-03-13,Montana,Big Horn,30003.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,13319
2020-03-14,Montana,Big Horn,30003.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,13319
2020-03-15,Montana,Big Horn,30003.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,13319
2020-03-16,Montana,Big Horn,30003.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,13319
2020-03-17,Montana,Big Horn,30003.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,13319
2020-03-18,Montana,Big Horn,30003.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,13319
2020-03-19,Montana,Big Horn,30003.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,13319
2020-03-20,Montana,Big Horn,30003.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,13319
2020-03-21,Montana,Big Horn,30003.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,13319
2020-03-22,Montana,Big Horn,30003.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,13319
2020-03-23,Montana,Big Horn,30003.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,13319
2020-03-24,Montana,Big Horn,30003.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,13319
2020-03-25,Montana,Big Horn,30003.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,13319
2020-03-26,Montana,Big Horn,30003.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,13319
2020-03-27,Montana,Big Horn,30003.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,13319
2020-03-28,Montana,Big Horn,30003.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,13319
2020-03-29,Montana,Big Horn,30003.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,13319
2020-03-30,Montana,Big Horn,30003.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,13319
2020-03-31,Montana,Big Horn,30003.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,13319
2020-04-01,Montana,Big Horn,30003.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,13319
2020-04-02,Montana,Big Horn,30003.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,13319
2020-04-03,Montana,Big Horn,30003.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,13319
2020-04-04,Montana,Big Horn,30003.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,13319
2020-04-05,Montana,Big Horn,30003.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,13319
2020-04-06,Montana,Big Horn,30003.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,13319
2020-04-07,Montana,Big Horn,30003.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,13319
2020-04-08,Montana,Big Horn,30003.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,13319
