date,state,county,fips,cases,deaths,cases_diff,deaths_diff,hospitalization_total,hospitalization_total_adult,hospitalization_total_pediatric,household_median_income,population
2020-01-22,Louisiana,Concordia,22029.0,0,0,0.0,0.0,1,1,0,798.015625,19259
2020-01-23,Louisiana,Concordia,22029.0,0,0,0.0,0.0,1,1,0,798.015625,19259
2020-01-24,Louisiana,Concordia,22029.0,0,0,0.0,0.0,1,1,0,798.015625,19259
2020-01-25,Louisiana,Concordia,22029.0,0,0,0.0,0.0,1,1,0,798.015625,19259
2020-01-26,Louisiana,Concordia,22029.0,0,0,0.0,0.0,1,1,0,798.015625,19259
2020-01-27,Louisiana,Concordia,22029.0,0,0,0.0,0.0,1,1,0,798.015625,19259
2020-01-28,Louisiana,Concordia,22029.0,0,0,0.0,0.0,1,1,0,798.015625,19259
2020-01-29,Louisiana,Concordia,22029.0,0,0,0.0,0.0,1,1,0,798.015625,19259
2020-01-30,Louisiana,Concordia,22029.0,0,0,0.0,0.0,1,1,0,798.015625,19259
2020-01-31,Louisiana,Concordia,22029.0,0,0,0.0,0.0,1,1,0,798.015625,19259
2020-02-01,Louisiana,Concordia,22029.0,0,0,0.0,0.0,1,1,0,798.015625,19259
2020-02-02,Louisiana,Concordia,22029.0,0,0,0.0,0.0,1,1,0,798.015625,19259
2020-02-03,Louisiana,Concordia,22029.0,0,0,0.0,0.0,1,1,0,798.015625,19259
2020-02-04,Louisiana,Concordia,22029.0,0,0,0.0,0.0,1,1,0,798.015625,19259
2020-02-05,Louisiana,Concordia,22029.0,0,0,0.0,0.0,1,1,0,798.015625,19259
2020-02-06,Louisiana,Concordia,22029.0,0,0,0.0,0.0,1,1,0,798.015625,19259
2020-02-07,Louisiana,Concordia,22029.0,0,0,0.0,0.0,1,1,0,798.015625,19259
2020-02-08,Louisiana,Concordia,22029.0,0,0,0.0,0.0,1,1,0,798.015625,19259
2020-02-09,Louisiana,Concordia,22029.0,0,0,0.0,0.0,1,1,0,798.015625,19259
2020-02-10,Louisiana,Concordia,22029.0,0,0,0.0,0.0,1,1,0,798.015625,19259
2020-02-11,Louisiana,Concordia,22029.0,0,0,0.0,0.0,1,1,0,798.015625,19259
2020-02-12,Louisiana,Concordia,22029.0,0,0,0.0,0.0,1,1,0,798.015625,19259
2020-02-13,Louisiana,Concordia,22029.0,0,0,0.0,0.0,1,1,0,798.015625,19259
2020-02-14,Louisiana,Concordia,22029.0,0,0,0.0,0.0,1,1,0,798.015625,19259
2020-02-15,Louisiana,Concordia,22029.0,0,0,0.0,0.0,1,1,0,798.015625,19259
2020-02-16,Louisiana,Concordia,22029.0,0,0,0.0,0.0,1,1,0,798.015625,19259
2020-02-17,Louisiana,Concordia,22029.0,0,0,0.0,0.0,1,1,0,798.015625,19259
2020-02-18,Louisiana,Concordia,22029.0,0,0,0.0,0.0,1,1,0,798.015625,19259
2020-02-19,Louisiana,Concordia,22029.0,0,0,0.0,0.0,1,1,0,798.015625,19259
2020-02-20,Louisiana,Concordia,22029.0,0,0,0.0,0.0,1,1,0,798.015625,19259
2020-02-21,Louisiana,Concordia,22029.0,0,0,0.0,0.0,1,1,0,798.015625,19259
2020-02-22,Louisiana,Concordia,22029.0,0,0,0.0,0.0,1,1,0,798.015625,19259
2020-02-23,Louisiana,Concordia,22029.0,0,0,0.0,0.0,1,1,0,798.015625,19259
2020-02-24,Louisiana,Concordia,22029.0,0,0,0.0,0.0,1,1,0,798.015625,19259
2020-02-25,Louisiana,Concordia,22029.0,0,0,0.0,0.0,1,1,0,798.015625,19259
2020-02-26,Louisiana,Concordia,22029.0,0,0,0.0,0.0,1,1,0,798.015625,19259
2020-02-27,Louisiana,Concordia,22029.0,0,0,0.0,0.0,1,1,0,798.015625,19259
2020-02-28,Louisiana,Concordia,22029.0,0,0,0.0,0.0,1,1,0,798.015625,19259
2020-02-29,Louisiana,Concordia,22029.0,0,0,0.0,0.0,1,1,0,798.015625,19259
2020-03-01,Louisiana,Concordia,22029.0,0,0,0.0,0.0,1,1,0,798.015625,19259
