date,state,county,fips,cases,deaths,cases_diff,deaths_diff,hospitalization_total,hospitalization_total_adult,hospitalization_total_pediatric,household_median_income,population
2020-01-22,Idaho,Caribou,16029.0,0,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-01-23,Idaho,Caribou,16029.0,0,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-01-24,Idaho,Caribou,16029.0,0,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-01-25,Idaho,Caribou,16029.0,0,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-01-26,Idaho,Caribou,16029.0,0,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-01-27,Idaho,Caribou,16029.0,0,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-01-28,Idaho,Caribou,16029.0,0,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-01-29,Idaho,Caribou,16029.0,0,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-01-30,Idaho,Caribou,16029.0,0,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-01-31,Idaho,Caribou,16029.0,0,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-02-01,Idaho,Caribou,16029.0,0,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-02-02,Idaho,Caribou,16029.0,0,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-02-03,Idaho,Caribou,16029.0,0,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-02-04,Idaho,Caribou,16029.0,0,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-02-05,Idaho,Caribou,16029.0,0,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-02-06,Idaho,Caribou,16029.0,0,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-02-07,Idaho,Caribou,16029.0,0,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-02-08,Idaho,Caribou,16029.0,0,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-02-09,Idaho,Caribou,16029.0,0,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-02-10,Idaho,Caribou,16029.0,0,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-02-11,Idaho,Caribou,16029.0,0,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-02-12,Idaho,Caribou,16029.0,0,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-02-13,Idaho,Caribou,16029.0,0,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-02-14,Idaho,Caribou,16029.0,0,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-02-15,Idaho,Caribou,16029.0,0,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-02-16,Idaho,Caribou,16029.0,0,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-02-17,Idaho,Caribou,16029.0,0,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-02-18,Idaho,Caribou,16029.0,0,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-02-19,Idaho,Caribou,16029.0,0,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-02-20,Idaho,Caribou,16029.0,0,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-02-21,Idaho,Caribou,16029.0,0,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-02-22,Idaho,Caribou,16029.0,0,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-02-23,Idaho,Caribou,16029.0,0,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-02-24,Idaho,Caribou,16029.0,0,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-02-25,Idaho,Caribou,16029.0,0,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-02-26,Idaho,Caribou,16029.0,0,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-02-27,Idaho,Caribou,16029.0,0,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-02-28,Idaho,Caribou,16029.0,0,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-02-29,Idaho,Caribou,16029.0,0,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-03-01,Idaho,Caribou,16029.0,0,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-03-02,Idaho,Caribou,16029.0,0,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-03-03,Idaho,Caribou,16029.0,0,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-03-04,Idaho,Caribou,16029.0,0,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-03-05,Idaho,Caribou,16029.0,0,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-03-06,Idaho,Caribou,16029.0,0,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-03-07,Idaho,Caribou,16029.0,0,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-03-08,Idaho,Caribou,16029.0,0,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-03-09,Idaho,Caribou,16029.0,0,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-03-10,Idaho,Caribou,16029.0,0,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-03-11,Idaho,Caribou,16029.0,0,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-03-12,Idaho,Caribou,16029.0,0,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-03-13,Idaho,Caribou,16029.0,0,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-03-14,Idaho,Caribou,16029.0,0,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-03-15,Idaho,Caribou,16029.0,0,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-03-16,Idaho,Caribou,16029.0,0,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-03-17,Idaho,Caribou,16029.0,0,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-03-18,Idaho,Caribou,16029.0,0,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-03-19,Idaho,Caribou,16029.0,0,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-03-20,Idaho,Caribou,16029.0,0,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-03-21,Idaho,Caribou,16029.0,0,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-03-22,Idaho,Caribou,16029.0,0,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-03-23,Idaho,Caribou,16029.0,0,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-03-24,Idaho,Caribou,16029.0,0,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-03-25,Idaho,Caribou,16029.0,0,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-03-26,Idaho,Caribou,16029.0,0,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-03-27,Idaho,Caribou,16029.0,0,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-03-28,Idaho,Caribou,16029.0,0,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-03-29,Idaho,Caribou,16029.0,0,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-03-30,Idaho,Caribou,16029.0,0,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-03-31,Idaho,Caribou,16029.0,0,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-04-01,Idaho,Caribou,16029.0,0,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-04-02,Idaho,Caribou,16029.0,0,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-04-03,Idaho,Caribou,16029.0,0,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-04-04,Idaho,Caribou,16029.0,0,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-04-05,Idaho,Caribou,16029.0,1,0,1.0,0.0,1,1,0,1386.340909090909,7155
2020-04-06,Idaho,Caribou,16029.0,1,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-04-07,Idaho,Caribou,16029.0,1,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-04-08,Idaho,Caribou,16029.0,1,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-04-09,Idaho,Caribou,16029.0,1,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-04-10,Idaho,Caribou,16029.0,1,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-04-11,Idaho,Caribou,16029.0,1,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-04-12,Idaho,Caribou,16029.0,1,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-04-13,Idaho,Caribou,16029.0,1,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-04-14,Idaho,Caribou,16029.0,1,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-04-15,Idaho,Caribou,16029.0,1,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-04-16,Idaho,Caribou,16029.0,1,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-04-17,Idaho,Caribou,16029.0,1,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-04-18,Idaho,Caribou,16029.0,1,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-04-19,Idaho,Caribou,16029.0,1,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-04-20,Idaho,Caribou,16029.0,1,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-04-21,Idaho,Caribou,16029.0,1,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-04-22,Idaho,Caribou,16029.0,1,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-04-23,Idaho,Caribou,16029.0,1,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-04-24,Idaho,Caribou,16029.0,1,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-04-25,Idaho,Caribou,16029.0,1,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-04-26,Idaho,Caribou,16029.0,1,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-04-27,Idaho,Caribou,16029.0,1,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-04-28,Idaho,Caribou,16029.0,1,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-04-29,Idaho,Caribou,16029.0,1,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-04-30,Idaho,Caribou,16029.0,1,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-05-01,Idaho,Caribou,16029.0,1,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-05-02,Idaho,Caribou,16029.0,1,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-05-03,Idaho,Caribou,16029.0,1,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-05-04,Idaho,Caribou,16029.0,1,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-05-05,Idaho,Caribou,16029.0,1,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-05-06,Idaho,Caribou,16029.0,1,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-05-07,Idaho,Caribou,16029.0,1,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-05-08,Idaho,Caribou,16029.0,1,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-05-09,Idaho,Caribou,16029.0,1,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-05-10,Idaho,Caribou,16029.0,1,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-05-11,Idaho,Caribou,16029.0,1,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-05-12,Idaho,Caribou,16029.0,1,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-05-13,Idaho,Caribou,16029.0,1,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-05-14,Idaho,Caribou,16029.0,1,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-05-15,Idaho,Caribou,16029.0,1,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-05-16,Idaho,Caribou,16029.0,1,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-05-17,Idaho,Caribou,16029.0,1,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-05-18,Idaho,Caribou,16029.0,1,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-05-19,Idaho,Caribou,16029.0,1,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-05-20,Idaho,Caribou,16029.0,1,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-05-21,Idaho,Caribou,16029.0,1,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-05-22,Idaho,Caribou,16029.0,1,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-05-23,Idaho,Caribou,16029.0,1,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-05-24,Idaho,Caribou,16029.0,1,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-05-25,Idaho,Caribou,16029.0,1,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-05-26,Idaho,Caribou,16029.0,1,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-05-27,Idaho,Caribou,16029.0,1,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-05-28,Idaho,Caribou,16029.0,1,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-05-29,Idaho,Caribou,16029.0,1,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-05-30,Idaho,Caribou,16029.0,1,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-05-31,Idaho,Caribou,16029.0,1,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-06-01,Idaho,Caribou,16029.0,1,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-06-02,Idaho,Caribou,16029.0,1,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-06-03,Idaho,Caribou,16029.0,1,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-06-04,Idaho,Caribou,16029.0,3,0,2.0,0.0,1,1,0,1386.340909090909,7155
2020-06-05,Idaho,Caribou,16029.0,3,0,0.0,0.0,1,1,0,1386.340909090909,7155
2020-06-06,Idaho,Caribou,16029.0,3,0,0.0,0.0,1,1,0,1386.340909090909,7155
