date,state,county,fips,cases,deaths,cases_diff,deaths_diff,hospitalization_total,hospitalization_total_adult,hospitalization_total_pediatric,household_median_income,population
2020-01-22,Idaho,Bannock,16005.0,0,0,0.0,0.0,1,1,0,51989.0,87808
2020-01-23,Idaho,Bannock,16005.0,0,0,0.0,0.0,1,1,0,51989.0,87808
2020-01-24,Idaho,Bannock,16005.0,0,0,0.0,0.0,1,1,0,51989.0,87808
2020-01-25,Idaho,Bannock,16005.0,0,0,0.0,0.0,1,1,0,51989.0,87808
2020-01-26,Idaho,Bannock,16005.0,0,0,0.0,0.0,1,1,0,51989.0,87808
2020-01-27,Idaho,Bannock,16005.0,0,0,0.0,0.0,1,1,0,51989.0,87808
2020-01-28,Idaho,Bannock,16005.0,0,0,0.0,0.0,1,1,0,51989.0,87808
2020-01-29,Idaho,Bannock,16005.0,0,0,0.0,0.0,1,1,0,51989.0,87808
2020-01-30,Idaho,Bannock,16005.0,0,0,0.0,0.0,1,1,0,51989.0,87808
2020-01-31,Idaho,Bannock,16005.0,0,0,0.0,0.0,1,1,0,51989.0,87808
2020-02-01,Idaho,Bannock,16005.0,0,0,0.0,0.0,1,1,0,51989.0,87808
2020-02-02,Idaho,Bannock,16005.0,0,0,0.0,0.0,1,1,0,51989.0,87808
2020-02-03,Idaho,Bannock,16005.0,0,0,0.0,0.0,1,1,0,51989.0,87808
2020-02-04,Idaho,Bannock,16005.0,0,0,0.0,0.0,1,1,0,51989.0,87808
2020-02-05,Idaho,Bannock,16005.0,0,0,0.0,0.0,1,1,0,51989.0,87808
2020-02-06,Idaho,Bannock,16005.0,0,0,0.0,0.0,1,1,0,51989.0,87808
2020-02-07,Idaho,Bannock,16005.0,0,0,0.0,0.0,1,1,0,51989.0,87808
2020-02-08,Idaho,Bannock,16005.0,0,0,0.0,0.0,1,1,0,51989.0,87808
2020-02-09,Idaho,Bannock,16005.0,0,0,0.0,0.0,1,1,0,51989.0,87808
2020-02-10,Idaho,Bannock,16005.0,0,0,0.0,0.0,1,1,0,51989.0,87808
2020-02-11,Idaho,Bannock,16005.0,0,0,0.0,0.0,1,1,0,51989.0,87808
2020-02-12,Idaho,Bannock,16005.0,0,0,0.0,0.0,1,1,0,51989.0,87808
2020-02-13,Idaho,Bannock,16005.0,0,0,0.0,0.0,1,1,0,51989.0,87808
2020-02-14,Idaho,Bannock,16005.0,0,0,0.0,0.0,1,1,0,51989.0,87808
2020-02-15,Idaho,Bannock,16005.0,0,0,0.0,0.0,1,1,0,51989.0,87808
2020-02-16,Idaho,Bannock,16005.0,0,0,0.0,0.0,1,1,0,51989.0,87808
2020-02-17,Idaho,Bannock,16005.0,0,0,0.0,0.0,1,1,0,51989.0,87808
2020-02-18,Idaho,Bannock,16005.0,0,0,0.0,0.0,1,1,0,51989.0,87808
2020-02-19,Idaho,Bannock,16005.0,0,0,0.0,0.0,1,1,0,51989.0,87808
2020-02-20,Idaho,Bannock,16005.0,0,0,0.0,0.0,1,1,0,51989.0,87808
2020-02-21,Idaho,Bannock,16005.0,0,0,0.0,0.0,1,1,0,51989.0,87808
2020-02-22,Idaho,Bannock,16005.0,0,0,0.0,0.0,1,1,0,51989.0,87808
2020-02-23,Idaho,Bannock,16005.0,0,0,0.0,0.0,1,1,0,51989.0,87808
2020-02-24,Idaho,Bannock,16005.0,0,0,0.0,0.0,1,1,0,51989.0,87808
2020-02-25,Idaho,Bannock,16005.0,0,0,0.0,0.0,1,1,0,51989.0,87808
2020-02-26,Idaho,Bannock,16005.0,0,0,0.0,0.0,1,1,0,51989.0,87808
2020-02-27,Idaho,Bannock,16005.0,0,0,0.0,0.0,1,1,0,51989.0,87808
2020-02-28,Idaho,Bannock,16005.0,0,0,0.0,0.0,1,1,0,51989.0,87808
2020-02-29,Idaho,Bannock,16005.0,0,0,0.0,0.0,1,1,0,51989.0,87808
2020-03-01,Idaho,Bannock,16005.0,0,0,0.0,0.0,1,1,0,51989.0,87808
2020-03-02,Idaho,Bannock,16005.0,0,0,0.0,0.0,1,1,0,51989.0,87808
2020-03-03,Idaho,Bannock,16005.0,0,0,0.0,0.0,1,1,0,51989.0,87808
2020-03-04,Idaho,Bannock,16005.0,0,0,0.0,0.0,1,1,0,51989.0,87808
2020-03-05,Idaho,Bannock,16005.0,0,0,0.0,0.0,1,1,0,51989.0,87808
2020-03-06,Idaho,Bannock,16005.0,0,0,0.0,0.0,1,1,0,51989.0,87808
2020-03-07,Idaho,Bannock,16005.0,0,0,0.0,0.0,1,1,0,51989.0,87808
2020-03-08,Idaho,Bannock,16005.0,0,0,0.0,0.0,1,1,0,51989.0,87808
2020-03-09,Idaho,Bannock,16005.0,0,0,0.0,0.0,1,1,0,51989.0,87808
2020-03-10,Idaho,Bannock,16005.0,0,0,0.0,0.0,1,1,0,51989.0,87808
2020-03-11,Idaho,Bannock,16005.0,0,0,0.0,0.0,1,1,0,51989.0,87808
2020-03-12,Idaho,Bannock,16005.0,0,0,0.0,0.0,1,1,0,51989.0,87808
2020-03-13,Idaho,Bannock,16005.0,0,0,0.0,0.0,1,1,0,51989.0,87808
2020-03-14,Idaho,Bannock,16005.0,0,0,0.0,0.0,1,1,0,51989.0,87808
2020-03-15,Idaho,Bannock,16005.0,0,0,0.0,0.0,1,1,0,51989.0,87808
2020-03-16,Idaho,Bannock,16005.0,0,0,0.0,0.0,1,1,0,51989.0,87808
2020-03-17,Idaho,Bannock,16005.0,0,0,0.0,0.0,1,1,0,51989.0,87808
2020-03-18,Idaho,Bannock,16005.0,0,0,0.0,0.0,1,1,0,51989.0,87808
2020-03-19,Idaho,Bannock,16005.0,0,0,0.0,0.0,1,1,0,51989.0,87808
2020-03-20,Idaho,Bannock,16005.0,0,0,0.0,0.0,1,1,0,51989.0,87808
2020-03-21,Idaho,Bannock,16005.0,0,0,0.0,0.0,1,1,0,51989.0,87808
2020-03-22,Idaho,Bannock,16005.0,0,0,0.0,0.0,1,1,0,51989.0,87808
2020-03-23,Idaho,Bannock,16005.0,2,0,2.0,0.0,1,1,0,51989.0,87808
2020-03-24,Idaho,Bannock,16005.0,2,0,0.0,0.0,1,1,0,51989.0,87808
2020-03-25,Idaho,Bannock,16005.0,2,0,0.0,0.0,1,1,0,51989.0,87808
2020-03-26,Idaho,Bannock,16005.0,3,0,1.0,0.0,1,1,0,51989.0,87808
2020-03-27,Idaho,Bannock,16005.0,2,0,-1.0,0.0,1,1,0,51989.0,87808
2020-03-28,Idaho,Bannock,16005.0,3,0,1.0,0.0,1,1,0,51989.0,87808
2020-03-29,Idaho,Bannock,16005.0,3,0,0.0,0.0,1,1,0,51989.0,87808
2020-03-30,Idaho,Bannock,16005.0,3,0,0.0,0.0,1,1,0,51989.0,87808
2020-03-31,Idaho,Bannock,16005.0,4,0,1.0,0.0,1,1,0,51989.0,87808
2020-04-01,Idaho,Bannock,16005.0,4,0,0.0,0.0,1,1,0,51989.0,87808
2020-04-02,Idaho,Bannock,16005.0,4,0,0.0,0.0,1,1,0,51989.0,87808
2020-04-03,Idaho,Bannock,16005.0,4,0,0.0,0.0,1,1,0,51989.0,87808
2020-04-04,Idaho,Bannock,16005.0,5,0,1.0,0.0,1,1,0,51989.0,87808
2020-04-05,Idaho,Bannock,16005.0,5,0,0.0,0.0,1,1,0,51989.0,87808
2020-04-06,Idaho,Bannock,16005.0,5,0,0.0,0.0,1,1,0,51989.0,87808
2020-04-07,Idaho,Bannock,16005.0,5,0,0.0,0.0,1,1,0,51989.0,87808
2020-04-08,Idaho,Bannock,16005.0,5,0,0.0,0.0,1,1,0,51989.0,87808
2020-04-09,Idaho,Bannock,16005.0,5,0,0.0,0.0,1,1,0,51989.0,87808
2020-04-10,Idaho,Bannock,16005.0,5,0,0.0,0.0,1,1,0,51989.0,87808
2020-04-11,Idaho,Bannock,16005.0,5,0,0.0,0.0,1,1,0,51989.0,87808
2020-04-12,Idaho,Bannock,16005.0,5,0,0.0,0.0,1,1,0,51989.0,87808
2020-04-13,Idaho,Bannock,16005.0,5,0,0.0,0.0,1,1,0,51989.0,87808
2020-04-14,Idaho,Bannock,16005.0,5,0,0.0,0.0,1,1,0,51989.0,87808
2020-04-15,Idaho,Bannock,16005.0,5,0,0.0,0.0,1,1,0,51989.0,87808
2020-04-16,Idaho,Bannock,16005.0,8,0,3.0,0.0,1,1,0,51989.0,87808
2020-04-17,Idaho,Bannock,16005.0,8,0,0.0,0.0,1,1,0,51989.0,87808
2020-04-18,Idaho,Bannock,16005.0,8,0,0.0,0.0,1,1,0,51989.0,87808
2020-04-19,Idaho,Bannock,16005.0,8,0,0.0,0.0,1,1,0,51989.0,87808
2020-04-20,Idaho,Bannock,16005.0,8,0,0.0,0.0,1,1,0,51989.0,87808
