date,state,county,fips,cases,deaths,cases_diff,deaths_diff,hospitalization_total,hospitalization_total_adult,hospitalization_total_pediatric,household_median_income,population
2020-01-22,Kansas,Norton,20137.0,0,0,0.0,0.0,1,1,0,591.3047619047619,5361
2020-01-23,Kansas,Norton,20137.0,0,0,0.0,0.0,1,1,0,591.3047619047619,5361
2020-01-24,Kansas,Norton,20137.0,0,0,0.0,0.0,1,1,0,591.3047619047619,5361
2020-01-25,Kansas,Norton,20137.0,0,0,0.0,0.0,1,1,0,591.3047619047619,5361
2020-01-26,Kansas,Norton,20137.0,0,0,0.0,0.0,1,1,0,591.3047619047619,5361
2020-01-27,Kansas,Norton,20137.0,0,0,0.0,0.0,1,1,0,591.3047619047619,5361
2020-01-28,Kansas,Norton,20137.0,0,0,0.0,0.0,1,1,0,591.3047619047619,5361
2020-01-29,Kansas,Norton,20137.0,0,0,0.0,0.0,1,1,0,591.3047619047619,5361
2020-01-30,Kansas,Norton,20137.0,0,0,0.0,0.0,1,1,0,591.3047619047619,5361
2020-01-31,Kansas,Norton,20137.0,0,0,0.0,0.0,1,1,0,591.3047619047619,5361
2020-02-01,Kansas,Norton,20137.0,0,0,0.0,0.0,1,1,0,591.3047619047619,5361
2020-02-02,Kansas,Norton,20137.0,0,0,0.0,0.0,1,1,0,591.3047619047619,5361
2020-02-03,Kansas,Norton,20137.0,0,0,0.0,0.0,1,1,0,591.3047619047619,5361
2020-02-04,Kansas,Norton,20137.0,0,0,0.0,0.0,1,1,0,591.3047619047619,5361
2020-02-05,Kansas,Norton,20137.0,0,0,0.0,0.0,1,1,0,591.3047619047619,5361
2020-02-06,Kansas,Norton,20137.0,0,0,0.0,0.0,1,1,0,591.3047619047619,5361
2020-02-07,Kansas,Norton,20137.0,0,0,0.0,0.0,1,1,0,591.3047619047619,5361
2020-02-08,Kansas,Norton,20137.0,0,0,0.0,0.0,1,1,0,591.3047619047619,5361
2020-02-09,Kansas,Norton,20137.0,0,0,0.0,0.0,1,1,0,591.3047619047619,5361
2020-02-10,Kansas,Norton,20137.0,0,0,0.0,0.0,1,1,0,591.3047619047619,5361
2020-02-11,Kansas,Norton,20137.0,0,0,0.0,0.0,1,1,0,591.3047619047619,5361
2020-02-12,Kansas,Norton,20137.0,0,0,0.0,0.0,1,1,0,591.3047619047619,5361
2020-02-13,Kansas,Norton,20137.0,0,0,0.0,0.0,1,1,0,591.3047619047619,5361
2020-02-14,Kansas,Norton,20137.0,0,0,0.0,0.0,1,1,0,591.3047619047619,5361
2020-02-15,Kansas,Norton,20137.0,0,0,0.0,0.0,1,1,0,591.3047619047619,5361
