date,state,county,fips,cases,deaths,cases_diff,deaths_diff,hospitalization_total,hospitalization_total_adult,hospitalization_total_pediatric,household_median_income,population
2020-01-22,North Carolina,Washington,37187.0,0,0,0.0,0.0,0,0,0,573.41,16326
2020-01-23,North Carolina,Washington,37187.0,0,0,0.0,0.0,0,0,0,573.41,16326
2020-01-24,North Carolina,Washington,37187.0,0,0,0.0,0.0,0,0,0,573.41,16326
2020-01-25,North Carolina,Washington,37187.0,0,0,0.0,0.0,0,0,0,573.41,16326
2020-01-26,North Carolina,Washington,37187.0,0,0,0.0,0.0,0,0,0,573.41,16326
2020-01-27,North Carolina,Washington,37187.0,0,0,0.0,0.0,0,0,0,573.41,16326
2020-01-28,North Carolina,Washington,37187.0,0,0,0.0,0.0,0,0,0,573.41,16326
2020-01-29,North Carolina,Washington,37187.0,0,0,0.0,0.0,0,0,0,573.41,16326
2020-01-30,North Carolina,Washington,37187.0,0,0,0.0,0.0,0,0,0,573.41,16326
2020-01-31,North Carolina,Washington,37187.0,0,0,0.0,0.0,0,0,0,573.41,16326
2020-02-01,North Carolina,Washington,37187.0,0,0,0.0,0.0,0,0,0,573.41,16326
2020-02-02,North Carolina,Washington,37187.0,0,0,0.0,0.0,0,0,0,573.41,16326
2020-02-03,North Carolina,Washington,37187.0,0,0,0.0,0.0,0,0,0,573.41,16326
2020-02-04,North Carolina,Washington,37187.0,0,0,0.0,0.0,0,0,0,573.41,16326
2020-02-05,North Carolina,Washington,37187.0,0,0,0.0,0.0,0,0,0,573.41,16326
2020-02-06,North Carolina,Washington,37187.0,0,0,0.0,0.0,0,0,0,573.41,16326
2020-02-07,North Carolina,Washington,37187.0,0,0,0.0,0.0,0,0,0,573.41,16326
2020-02-08,North Carolina,Washington,37187.0,0,0,0.0,0.0,0,0,0,573.41,16326
2020-02-09,North Carolina,Washington,37187.0,0,0,0.0,0.0,0,0,0,573.41,16326
2020-02-10,North Carolina,Washington,37187.0,0,0,0.0,0.0,0,0,0,573.41,16326
2020-02-11,North Carolina,Washington,37187.0,0,0,0.0,0.0,0,0,0,573.41,16326
2020-02-12,North Carolina,Washington,37187.0,0,0,0.0,0.0,0,0,0,573.41,16326
2020-02-13,North Carolina,Washington,37187.0,0,0,0.0,0.0,0,0,0,573.41,16326
2020-02-14,North Carolina,Washington,37187.0,0,0,0.0,0.0,0,0,0,573.41,16326
2020-02-15,North Carolina,Washington,37187.0,0,0,0.0,0.0,0,0,0,573.41,16326
2020-02-16,North Carolina,Washington,37187.0,0,0,0.0,0.0,0,0,0,573.41,16326
2020-02-17,North Carolina,Washington,37187.0,0,0,0.0,0.0,0,0,0,573.41,16326
2020-02-18,North Carolina,Washington,37187.0,0,0,0.0,0.0,0,0,0,573.41,16326
2020-02-19,North Carolina,Washington,37187.0,0,0,0.0,0.0,0,0,0,573.41,16326
2020-02-20,North Carolina,Washington,37187.0,0,0,0.0,0.0,0,0,0,573.41,16326
2020-02-21,North Carolina,Washington,37187.0,0,0,0.0,0.0,0,0,0,573.41,16326
2020-02-22,North Carolina,Washington,37187.0,0,0,0.0,0.0,0,0,0,573.41,16326
2020-02-23,North Carolina,Washington,37187.0,0,0,0.0,0.0,0,0,0,573.41,16326
2020-02-24,North Carolina,Washington,37187.0,0,0,0.0,0.0,0,0,0,573.41,16326
2020-02-25,North Carolina,Washington,37187.0,0,0,0.0,0.0,0,0,0,573.41,16326
2020-02-26,North Carolina,Washington,37187.0,0,0,0.0,0.0,0,0,0,573.41,16326
2020-02-27,North Carolina,Washington,37187.0,0,0,0.0,0.0,0,0,0,573.41,16326
2020-02-28,North Carolina,Washington,37187.0,0,0,0.0,0.0,0,0,0,573.41,16326
2020-02-29,North Carolina,Washington,37187.0,0,0,0.0,0.0,0,0,0,573.41,16326
2020-03-01,North Carolina,Washington,37187.0,0,0,0.0,0.0,0,0,0,573.41,16326
2020-03-02,North Carolina,Washington,37187.0,0,0,0.0,0.0,0,0,0,573.41,16326
2020-03-03,North Carolina,Washington,37187.0,0,0,0.0,0.0,0,0,0,573.41,16326
2020-03-04,North Carolina,Washington,37187.0,0,0,0.0,0.0,0,0,0,573.41,16326
2020-03-05,North Carolina,Washington,37187.0,0,0,0.0,0.0,0,0,0,573.41,16326
2020-03-06,North Carolina,Washington,37187.0,0,0,0.0,0.0,0,0,0,573.41,16326
2020-03-07,North Carolina,Washington,37187.0,0,0,0.0,0.0,0,0,0,573.41,16326
2020-03-08,North Carolina,Washington,37187.0,0,0,0.0,0.0,0,0,0,573.41,16326
2020-03-09,North Carolina,Washington,37187.0,0,0,0.0,0.0,0,0,0,573.41,16326
2020-03-10,North Carolina,Washington,37187.0,0,0,0.0,0.0,0,0,0,573.41,16326
2020-03-11,North Carolina,Washington,37187.0,0,0,0.0,0.0,0,0,0,573.41,16326
2020-03-12,North Carolina,Washington,37187.0,0,0,0.0,0.0,0,0,0,573.41,16326
2020-03-13,North Carolina,Washington,37187.0,0,0,0.0,0.0,0,0,0,573.41,16326
2020-03-14,North Carolina,Washington,37187.0,0,0,0.0,0.0,0,0,0,573.41,16326
2020-03-15,North Carolina,Washington,37187.0,0,0,0.0,0.0,0,0,0,573.41,16326
2020-03-16,North Carolina,Washington,37187.0,0,0,0.0,0.0,0,0,0,573.41,16326
2020-03-17,North Carolina,Washington,37187.0,0,0,0.0,0.0,0,0,0,573.41,16326
2020-03-18,North Carolina,Washington,37187.0,0,0,0.0,0.0,0,0,0,573.41,16326
2020-03-19,North Carolina,Washington,37187.0,0,0,0.0,0.0,0,0,0,573.41,16326
2020-03-20,North Carolina,Washington,37187.0,0,0,0.0,0.0,0,0,0,573.41,16326
2020-03-21,North Carolina,Washington,37187.0,0,0,0.0,0.0,0,0,0,573.41,16326
2020-03-22,North Carolina,Washington,37187.0,0,0,0.0,0.0,0,0,0,573.41,16326
2020-03-23,North Carolina,Washington,37187.0,0,0,0.0,0.0,0,0,0,573.41,16326
2020-03-24,North Carolina,Washington,37187.0,0,0,0.0,0.0,0,0,0,573.41,16326
2020-03-25,North Carolina,Washington,37187.0,0,0,0.0,0.0,0,0,0,573.41,16326
2020-03-26,North Carolina,Washington,37187.0,0,0,0.0,0.0,0,0,0,573.41,16326
2020-03-27,North Carolina,Washington,37187.0,0,0,0.0,0.0,0,0,0,573.41,16326
2020-03-28,North Carolina,Washington,37187.0,1,0,1.0,0.0,0,0,0,573.41,16326
2020-03-29,North Carolina,Washington,37187.0,1,0,0.0,0.0,0,0,0,573.41,16326
2020-03-30,North Carolina,Washington,37187.0,2,0,1.0,0.0,0,0,0,573.41,16326
2020-03-31,North Carolina,Washington,37187.0,2,0,0.0,0.0,0,0,0,573.41,16326
2020-04-01,North Carolina,Washington,37187.0,2,0,0.0,0.0,0,0,0,573.41,16326
2020-04-02,North Carolina,Washington,37187.0,2,0,0.0,0.0,0,0,0,573.41,16326
2020-04-03,North Carolina,Washington,37187.0,3,0,1.0,0.0,0,0,0,573.41,16326
2020-04-04,North Carolina,Washington,37187.0,4,0,1.0,0.0,1,1,0,573.41,16326
2020-04-05,North Carolina,Washington,37187.0,6,0,2.0,0.0,1,1,0,573.41,16326
2020-04-06,North Carolina,Washington,37187.0,7,0,1.0,0.0,1,1,0,573.41,16326
2020-04-07,North Carolina,Washington,37187.0,8,0,1.0,0.0,1,1,0,573.41,16326
2020-04-08,North Carolina,Washington,37187.0,11,0,3.0,0.0,1,1,0,573.41,16326
2020-04-09,North Carolina,Washington,37187.0,14,0,3.0,0.0,1,1,0,573.41,16326
2020-04-10,North Carolina,Washington,37187.0,15,1,1.0,1.0,1,1,0,573.41,16326
2020-04-11,North Carolina,Washington,37187.0,15,1,0.0,0.0,1,1,0,573.41,16326
2020-04-12,North Carolina,Washington,37187.0,17,1,2.0,0.0,1,1,0,573.41,16326
2020-04-13,North Carolina,Washington,37187.0,18,2,1.0,1.0,1,1,0,573.41,16326
2020-04-14,North Carolina,Washington,37187.0,18,2,0.0,0.0,1,1,0,573.41,16326
2020-04-15,North Carolina,Washington,37187.0,18,2,0.0,0.0,1,1,0,573.41,16326
2020-04-16,North Carolina,Washington,37187.0,18,2,0.0,0.0,1,1,0,573.41,16326
2020-04-17,North Carolina,Washington,37187.0,19,2,1.0,0.0,1,1,0,573.41,16326
2020-04-18,North Carolina,Washington,37187.0,20,2,1.0,0.0,1,1,0,573.41,16326
2020-04-19,North Carolina,Washington,37187.0,21,2,1.0,0.0,1,1,0,573.41,16326
2020-04-20,North Carolina,Washington,37187.0,21,2,0.0,0.0,1,1,0,573.41,16326
2020-04-21,North Carolina,Washington,37187.0,21,2,0.0,0.0,1,1,0,573.41,16326
2020-04-22,North Carolina,Washington,37187.0,22,2,1.0,0.0,1,1,0,573.41,16326
2020-04-23,North Carolina,Washington,37187.0,23,2,1.0,0.0,1,1,0,573.41,16326
2020-04-24,North Carolina,Washington,37187.0,24,2,1.0,0.0,1,1,0,573.41,16326
2020-04-25,North Carolina,Washington,37187.0,24,2,0.0,0.0,1,1,0,573.41,16326
2020-04-26,North Carolina,Washington,37187.0,24,2,0.0,0.0,1,1,0,573.41,16326
2020-04-27,North Carolina,Washington,37187.0,24,2,0.0,0.0,1,1,0,573.41,16326
2020-04-28,North Carolina,Washington,37187.0,24,2,0.0,0.0,1,1,0,573.41,16326
2020-04-29,North Carolina,Washington,37187.0,25,2,1.0,0.0,1,1,0,573.41,16326
2020-04-30,North Carolina,Washington,37187.0,25,2,0.0,0.0,1,1,0,573.41,16326
2020-05-01,North Carolina,Washington,37187.0,25,2,0.0,0.0,1,1,0,573.41,16326
2020-05-02,North Carolina,Washington,37187.0,25,3,0.0,1.0,1,1,0,573.41,16326
2020-05-03,North Carolina,Washington,37187.0,25,3,0.0,0.0,1,1,0,573.41,16326
2020-05-04,North Carolina,Washington,37187.0,25,3,0.0,0.0,1,1,0,573.41,16326
2020-05-05,North Carolina,Washington,37187.0,25,3,0.0,0.0,1,1,0,573.41,16326
2020-05-06,North Carolina,Washington,37187.0,25,3,0.0,0.0,1,1,0,573.41,16326
2020-05-07,North Carolina,Washington,37187.0,25,3,0.0,0.0,1,1,0,573.41,16326
2020-05-08,North Carolina,Washington,37187.0,25,3,0.0,0.0,1,1,0,573.41,16326
2020-05-09,North Carolina,Washington,37187.0,25,3,0.0,0.0,1,1,0,573.41,16326
2020-05-10,North Carolina,Washington,37187.0,25,3,0.0,0.0,1,1,0,573.41,16326
2020-05-11,North Carolina,Washington,37187.0,25,3,0.0,0.0,1,1,0,573.41,16326
2020-05-12,North Carolina,Washington,37187.0,25,3,0.0,0.0,1,1,0,573.41,16326
2020-05-13,North Carolina,Washington,37187.0,26,3,1.0,0.0,1,1,0,573.41,16326
2020-05-14,North Carolina,Washington,37187.0,26,3,0.0,0.0,1,1,0,573.41,16326
2020-05-15,North Carolina,Washington,37187.0,26,3,0.0,0.0,1,1,0,573.41,16326
2020-05-16,North Carolina,Washington,37187.0,26,3,0.0,0.0,1,1,0,573.41,16326
2020-05-17,North Carolina,Washington,37187.0,26,3,0.0,0.0,1,1,0,573.41,16326
2020-05-18,North Carolina,Washington,37187.0,26,3,0.0,0.0,1,1,0,573.41,16326
2020-05-19,North Carolina,Washington,37187.0,26,3,0.0,0.0,1,1,0,573.41,16326
2020-05-20,North Carolina,Washington,37187.0,26,3,0.0,0.0,1,1,0,573.41,16326
2020-05-21,North Carolina,Washington,37187.0,26,3,0.0,0.0,1,1,0,573.41,16326
2020-05-22,North Carolina,Washington,37187.0,26,3,0.0,0.0,1,1,0,573.41,16326
2020-05-23,North Carolina,Washington,37187.0,26,3,0.0,0.0,1,1,0,573.41,16326
2020-05-24,North Carolina,Washington,37187.0,26,3,0.0,0.0,1,1,0,573.41,16326
2020-05-25,North Carolina,Washington,37187.0,26,3,0.0,0.0,1,1,0,573.41,16326
2020-05-26,North Carolina,Washington,37187.0,27,3,1.0,0.0,1,1,0,573.41,16326
2020-05-27,North Carolina,Washington,37187.0,27,3,0.0,0.0,1,1,0,573.41,16326
2020-05-28,North Carolina,Washington,37187.0,27,3,0.0,0.0,1,1,0,573.41,16326
2020-05-29,North Carolina,Washington,37187.0,27,3,0.0,0.0,1,1,0,573.41,16326
2020-05-30,North Carolina,Washington,37187.0,29,3,2.0,0.0,1,1,0,573.41,16326
2020-05-31,North Carolina,Washington,37187.0,30,3,1.0,0.0,1,1,0,573.41,16326
2020-06-01,North Carolina,Washington,37187.0,30,3,0.0,0.0,1,1,0,573.41,16326
2020-06-02,North Carolina,Washington,37187.0,32,3,2.0,0.0,1,1,0,573.41,16326
2020-06-03,North Carolina,Washington,37187.0,32,3,0.0,0.0,1,1,0,573.41,16326
2020-06-04,North Carolina,Washington,37187.0,32,3,0.0,0.0,1,1,0,573.41,16326
2020-06-05,North Carolina,Washington,37187.0,32,3,0.0,0.0,1,1,0,573.41,16326
2020-06-06,North Carolina,Washington,37187.0,32,3,0.0,0.0,1,1,0,573.41,16326
2020-06-07,North Carolina,Washington,37187.0,32,3,0.0,0.0,1,1,0,573.41,16326
2020-06-08,North Carolina,Washington,37187.0,32,3,0.0,0.0,1,1,0,573.41,16326
2020-06-09,North Carolina,Washington,37187.0,32,3,0.0,0.0,1,1,0,573.41,16326
2020-06-10,North Carolina,Washington,37187.0,33,3,1.0,0.0,1,1,0,573.41,16326
2020-06-11,North Carolina,Washington,37187.0,33,3,0.0,0.0,1,1,0,573.41,16326
