date,state,county,fips,cases,deaths,cases_diff,deaths_diff,hospitalization_total,hospitalization_total_adult,hospitalization_total_pediatric,household_median_income,population
2020-01-22,California,Plumas,6063.0,0,0,0.0,0.0,1,1,0,1386.896551724138,18807
2020-01-23,California,Plumas,6063.0,0,0,0.0,0.0,1,1,0,1386.896551724138,18807
2020-01-24,California,Plumas,6063.0,0,0,0.0,0.0,1,1,0,1386.896551724138,18807
2020-01-25,California,Plumas,6063.0,0,0,0.0,0.0,1,1,0,1386.896551724138,18807
2020-01-26,California,Plumas,6063.0,0,0,0.0,0.0,1,1,0,1386.896551724138,18807
2020-01-27,California,Plumas,6063.0,0,0,0.0,0.0,1,1,0,1386.896551724138,18807
2020-01-28,California,Plumas,6063.0,0,0,0.0,0.0,1,1,0,1386.896551724138,18807
2020-01-29,California,Plumas,6063.0,0,0,0.0,0.0,1,1,0,1386.896551724138,18807
2020-01-30,California,Plumas,6063.0,0,0,0.0,0.0,1,1,0,1386.896551724138,18807
2020-01-31,California,Plumas,6063.0,0,0,0.0,0.0,1,1,0,1386.896551724138,18807
2020-02-01,California,Plumas,6063.0,0,0,0.0,0.0,1,1,0,1386.896551724138,18807
2020-02-02,California,Plumas,6063.0,0,0,0.0,0.0,1,1,0,1386.896551724138,18807
2020-02-03,California,Plumas,6063.0,0,0,0.0,0.0,1,1,0,1386.896551724138,18807
2020-02-04,California,Plumas,6063.0,0,0,0.0,0.0,1,1,0,1386.896551724138,18807
2020-02-05,California,Plumas,6063.0,0,0,0.0,0.0,1,1,0,1386.896551724138,18807
2020-02-06,California,Plumas,6063.0,0,0,0.0,0.0,1,1,0,1386.896551724138,18807
2020-02-07,California,Plumas,6063.0,0,0,0.0,0.0,1,1,0,1386.896551724138,18807
2020-02-08,California,Plumas,6063.0,0,0,0.0,0.0,1,1,0,1386.896551724138,18807
2020-02-09,California,Plumas,6063.0,0,0,0.0,0.0,1,1,0,1386.896551724138,18807
2020-02-10,California,Plumas,6063.0,0,0,0.0,0.0,1,1,0,1386.896551724138,18807
2020-02-11,California,Plumas,6063.0,0,0,0.0,0.0,1,1,0,1386.896551724138,18807
2020-02-12,California,Plumas,6063.0,0,0,0.0,0.0,1,1,0,1386.896551724138,18807
2020-02-13,California,Plumas,6063.0,0,0,0.0,0.0,1,1,0,1386.896551724138,18807
2020-02-14,California,Plumas,6063.0,0,0,0.0,0.0,1,1,0,1386.896551724138,18807
2020-02-15,California,Plumas,6063.0,0,0,0.0,0.0,1,1,0,1386.896551724138,18807
2020-02-16,California,Plumas,6063.0,0,0,0.0,0.0,1,1,0,1386.896551724138,18807
2020-02-17,California,Plumas,6063.0,0,0,0.0,0.0,1,1,0,1386.896551724138,18807
2020-02-18,California,Plumas,6063.0,0,0,0.0,0.0,1,1,0,1386.896551724138,18807
2020-02-19,California,Plumas,6063.0,0,0,0.0,0.0,1,1,0,1386.896551724138,18807
2020-02-20,California,Plumas,6063.0,0,0,0.0,0.0,1,1,0,1386.896551724138,18807
2020-02-21,California,Plumas,6063.0,0,0,0.0,0.0,1,1,0,1386.896551724138,18807
2020-02-22,California,Plumas,6063.0,0,0,0.0,0.0,1,1,0,1386.896551724138,18807
2020-02-23,California,Plumas,6063.0,0,0,0.0,0.0,1,1,0,1386.896551724138,18807
2020-02-24,California,Plumas,6063.0,0,0,0.0,0.0,1,1,0,1386.896551724138,18807
2020-02-25,California,Plumas,6063.0,0,0,0.0,0.0,1,1,0,1386.896551724138,18807
2020-02-26,California,Plumas,6063.0,0,0,0.0,0.0,1,1,0,1386.896551724138,18807
2020-02-27,California,Plumas,6063.0,0,0,0.0,0.0,1,1,0,1386.896551724138,18807
2020-02-28,California,Plumas,6063.0,0,0,0.0,0.0,1,1,0,1386.896551724138,18807
2020-02-29,California,Plumas,6063.0,0,0,0.0,0.0,1,1,0,1386.896551724138,18807
2020-03-01,California,Plumas,6063.0,0,0,0.0,0.0,1,1,0,1386.896551724138,18807
2020-03-02,California,Plumas,6063.0,0,0,0.0,0.0,1,1,0,1386.896551724138,18807
2020-03-03,California,Plumas,6063.0,0,0,0.0,0.0,1,1,0,1386.896551724138,18807
2020-03-04,California,Plumas,6063.0,0,0,0.0,0.0,1,1,0,1386.896551724138,18807
2020-03-05,California,Plumas,6063.0,0,0,0.0,0.0,1,1,0,1386.896551724138,18807
2020-03-06,California,Plumas,6063.0,0,0,0.0,0.0,1,1,0,1386.896551724138,18807
2020-03-07,California,Plumas,6063.0,0,0,0.0,0.0,1,1,0,1386.896551724138,18807
2020-03-08,California,Plumas,6063.0,0,0,0.0,0.0,1,1,0,1386.896551724138,18807
2020-03-09,California,Plumas,6063.0,0,0,0.0,0.0,1,1,0,1386.896551724138,18807
2020-03-10,California,Plumas,6063.0,0,0,0.0,0.0,1,1,0,1386.896551724138,18807
2020-03-11,California,Plumas,6063.0,0,0,0.0,0.0,1,1,0,1386.896551724138,18807
2020-03-12,California,Plumas,6063.0,0,0,0.0,0.0,1,1,0,1386.896551724138,18807
2020-03-13,California,Plumas,6063.0,0,0,0.0,0.0,1,1,0,1386.896551724138,18807
2020-03-14,California,Plumas,6063.0,0,0,0.0,0.0,1,1,0,1386.896551724138,18807
2020-03-15,California,Plumas,6063.0,0,0,0.0,0.0,1,1,0,1386.896551724138,18807
2020-03-16,California,Plumas,6063.0,0,0,0.0,0.0,1,1,0,1386.896551724138,18807
2020-03-17,California,Plumas,6063.0,0,0,0.0,0.0,1,1,0,1386.896551724138,18807
2020-03-18,California,Plumas,6063.0,0,0,0.0,0.0,1,1,0,1386.896551724138,18807
2020-03-19,California,Plumas,6063.0,0,0,0.0,0.0,1,1,0,1386.896551724138,18807
2020-03-20,California,Plumas,6063.0,0,0,0.0,0.0,1,1,0,1386.896551724138,18807
2020-03-21,California,Plumas,6063.0,0,0,0.0,0.0,1,1,0,1386.896551724138,18807
2020-03-22,California,Plumas,6063.0,0,0,0.0,0.0,1,1,0,1386.896551724138,18807
2020-03-23,California,Plumas,6063.0,0,0,0.0,0.0,1,1,0,1386.896551724138,18807
2020-03-24,California,Plumas,6063.0,1,0,1.0,0.0,1,1,0,1386.896551724138,18807
2020-03-25,California,Plumas,6063.0,1,0,0.0,0.0,1,1,0,1386.896551724138,18807
2020-03-26,California,Plumas,6063.0,0,0,-1.0,0.0,1,1,0,1386.896551724138,18807
