date,state,county,fips,cases,deaths,cases_diff,deaths_diff,hospitalization_total,hospitalization_total_adult,hospitalization_total_pediatric,household_median_income,population
2020-01-22,California,Glenn,6021.0,0,0,0.0,0.0,1,1,0,1386.896551724138,28393
2020-01-23,California,Glenn,6021.0,0,0,0.0,0.0,1,1,0,1386.896551724138,28393
2020-01-24,California,Glenn,6021.0,0,0,0.0,0.0,1,1,0,1386.896551724138,28393
2020-01-25,California,Glenn,6021.0,0,0,0.0,0.0,1,1,0,1386.896551724138,28393
2020-01-26,California,Glenn,6021.0,0,0,0.0,0.0,1,1,0,1386.896551724138,28393
2020-01-27,California,Glenn,6021.0,0,0,0.0,0.0,1,1,0,1386.896551724138,28393
2020-01-28,California,Glenn,6021.0,0,0,0.0,0.0,1,1,0,1386.896551724138,28393
2020-01-29,California,Glenn,6021.0,0,0,0.0,0.0,1,1,0,1386.896551724138,28393
2020-01-30,California,Glenn,6021.0,0,0,0.0,0.0,1,1,0,1386.896551724138,28393
2020-01-31,California,Glenn,6021.0,0,0,0.0,0.0,1,1,0,1386.896551724138,28393
2020-02-01,California,Glenn,6021.0,0,0,0.0,0.0,1,1,0,1386.896551724138,28393
2020-02-02,California,Glenn,6021.0,0,0,0.0,0.0,1,1,0,1386.896551724138,28393
2020-02-03,California,Glenn,6021.0,0,0,0.0,0.0,1,1,0,1386.896551724138,28393
2020-02-04,California,Glenn,6021.0,0,0,0.0,0.0,1,1,0,1386.896551724138,28393
2020-02-05,California,Glenn,6021.0,0,0,0.0,0.0,1,1,0,1386.896551724138,28393
2020-02-06,California,Glenn,6021.0,0,0,0.0,0.0,1,1,0,1386.896551724138,28393
2020-02-07,California,Glenn,6021.0,0,0,0.0,0.0,1,1,0,1386.896551724138,28393
2020-02-08,California,Glenn,6021.0,0,0,0.0,0.0,1,1,0,1386.896551724138,28393
2020-02-09,California,Glenn,6021.0,0,0,0.0,0.0,1,1,0,1386.896551724138,28393
2020-02-10,California,Glenn,6021.0,0,0,0.0,0.0,1,1,0,1386.896551724138,28393
2020-02-11,California,Glenn,6021.0,0,0,0.0,0.0,1,1,0,1386.896551724138,28393
2020-02-12,California,Glenn,6021.0,0,0,0.0,0.0,1,1,0,1386.896551724138,28393
2020-02-13,California,Glenn,6021.0,0,0,0.0,0.0,1,1,0,1386.896551724138,28393
2020-02-14,California,Glenn,6021.0,0,0,0.0,0.0,1,1,0,1386.896551724138,28393
2020-02-15,California,Glenn,6021.0,0,0,0.0,0.0,1,1,0,1386.896551724138,28393
2020-02-16,California,Glenn,6021.0,0,0,0.0,0.0,1,1,0,1386.896551724138,28393
2020-02-17,California,Glenn,6021.0,0,0,0.0,0.0,1,1,0,1386.896551724138,28393
2020-02-18,California,Glenn,6021.0,0,0,0.0,0.0,1,1,0,1386.896551724138,28393
2020-02-19,California,Glenn,6021.0,0,0,0.0,0.0,1,1,0,1386.896551724138,28393
2020-02-20,California,Glenn,6021.0,0,0,0.0,0.0,1,1,0,1386.896551724138,28393
2020-02-21,California,Glenn,6021.0,0,0,0.0,0.0,1,1,0,1386.896551724138,28393
2020-02-22,California,Glenn,6021.0,0,0,0.0,0.0,1,1,0,1386.896551724138,28393
2020-02-23,California,Glenn,6021.0,0,0,0.0,0.0,1,1,0,1386.896551724138,28393
2020-02-24,California,Glenn,6021.0,0,0,0.0,0.0,1,1,0,1386.896551724138,28393
2020-02-25,California,Glenn,6021.0,0,0,0.0,0.0,1,1,0,1386.896551724138,28393
2020-02-26,California,Glenn,6021.0,0,0,0.0,0.0,1,1,0,1386.896551724138,28393
2020-02-27,California,Glenn,6021.0,0,0,0.0,0.0,1,1,0,1386.896551724138,28393
2020-02-28,California,Glenn,6021.0,0,0,0.0,0.0,1,1,0,1386.896551724138,28393
2020-02-29,California,Glenn,6021.0,0,0,0.0,0.0,1,1,0,1386.896551724138,28393
2020-03-01,California,Glenn,6021.0,0,0,0.0,0.0,1,1,0,1386.896551724138,28393
2020-03-02,California,Glenn,6021.0,0,0,0.0,0.0,1,1,0,1386.896551724138,28393
2020-03-03,California,Glenn,6021.0,0,0,0.0,0.0,1,1,0,1386.896551724138,28393
2020-03-04,California,Glenn,6021.0,0,0,0.0,0.0,1,1,0,1386.896551724138,28393
2020-03-05,California,Glenn,6021.0,0,0,0.0,0.0,1,1,0,1386.896551724138,28393
2020-03-06,California,Glenn,6021.0,0,0,0.0,0.0,1,1,0,1386.896551724138,28393
2020-03-07,California,Glenn,6021.0,0,0,0.0,0.0,1,1,0,1386.896551724138,28393
2020-03-08,California,Glenn,6021.0,0,0,0.0,0.0,1,1,0,1386.896551724138,28393
2020-03-09,California,Glenn,6021.0,0,0,0.0,0.0,1,1,0,1386.896551724138,28393
2020-03-10,California,Glenn,6021.0,0,0,0.0,0.0,1,1,0,1386.896551724138,28393
2020-03-11,California,Glenn,6021.0,0,0,0.0,0.0,1,1,0,1386.896551724138,28393
2020-03-12,California,Glenn,6021.0,0,0,0.0,0.0,1,1,0,1386.896551724138,28393
2020-03-13,California,Glenn,6021.0,0,0,0.0,0.0,1,1,0,1386.896551724138,28393
2020-03-14,California,Glenn,6021.0,0,0,0.0,0.0,1,1,0,1386.896551724138,28393
2020-03-15,California,Glenn,6021.0,0,0,0.0,0.0,1,1,0,1386.896551724138,28393
2020-03-16,California,Glenn,6021.0,0,0,0.0,0.0,1,1,0,1386.896551724138,28393
2020-03-17,California,Glenn,6021.0,0,0,0.0,0.0,1,1,0,1386.896551724138,28393
2020-03-18,California,Glenn,6021.0,0,0,0.0,0.0,1,1,0,1386.896551724138,28393
2020-03-19,California,Glenn,6021.0,0,0,0.0,0.0,1,1,0,1386.896551724138,28393
2020-03-20,California,Glenn,6021.0,0,0,0.0,0.0,1,1,0,1386.896551724138,28393
2020-03-21,California,Glenn,6021.0,0,0,0.0,0.0,1,1,0,1386.896551724138,28393
2020-03-22,California,Glenn,6021.0,0,0,0.0,0.0,1,1,0,1386.896551724138,28393
2020-03-23,California,Glenn,6021.0,0,0,0.0,0.0,1,1,0,1386.896551724138,28393
2020-03-24,California,Glenn,6021.0,0,0,0.0,0.0,1,1,0,1386.896551724138,28393
2020-03-25,California,Glenn,6021.0,0,0,0.0,0.0,1,1,0,1386.896551724138,28393
2020-03-26,California,Glenn,6021.0,0,0,0.0,0.0,1,1,0,1386.896551724138,28393
2020-03-27,California,Glenn,6021.0,0,0,0.0,0.0,1,1,0,1386.896551724138,28393
2020-03-28,California,Glenn,6021.0,2,0,2.0,0.0,2,2,0,1386.896551724138,28393
2020-03-29,California,Glenn,6021.0,1,0,-1.0,0.0,2,2,0,1386.896551724138,28393
2020-03-30,California,Glenn,6021.0,2,0,1.0,0.0,2,2,0,1386.896551724138,28393
2020-03-31,California,Glenn,6021.0,2,0,0.0,0.0,3,3,0,1386.896551724138,28393
2020-04-01,California,Glenn,6021.0,2,0,0.0,0.0,3,3,0,1386.896551724138,28393
2020-04-02,California,Glenn,6021.0,2,0,0.0,0.0,3,3,0,1386.896551724138,28393
2020-04-03,California,Glenn,6021.0,2,0,0.0,0.0,4,4,0,1386.896551724138,28393
2020-04-04,California,Glenn,6021.0,2,0,0.0,0.0,4,4,0,1386.896551724138,28393
2020-04-05,California,Glenn,6021.0,2,0,0.0,0.0,4,4,0,1386.896551724138,28393
2020-04-06,California,Glenn,6021.0,2,0,0.0,0.0,4,4,0,1386.896551724138,28393
2020-04-07,California,Glenn,6021.0,2,0,0.0,0.0,5,4,0,1386.896551724138,28393
2020-04-08,California,Glenn,6021.0,2,0,0.0,0.0,5,5,0,1386.896551724138,28393
2020-04-09,California,Glenn,6021.0,2,0,0.0,0.0,5,5,0,1386.896551724138,28393
2020-04-10,California,Glenn,6021.0,3,0,1.0,0.0,5,5,0,1386.896551724138,28393
2020-04-11,California,Glenn,6021.0,3,0,0.0,0.0,9,9,0,1386.896551724138,28393
2020-04-12,California,Glenn,6021.0,3,0,0.0,0.0,9,9,0,1386.896551724138,28393
2020-04-13,California,Glenn,6021.0,3,0,0.0,0.0,5,5,0,1386.896551724138,28393
2020-04-14,California,Glenn,6021.0,3,0,0.0,0.0,9,9,0,1386.896551724138,28393
2020-04-15,California,Glenn,6021.0,3,0,0.0,0.0,9,9,0,1386.896551724138,28393
2020-04-16,California,Glenn,6021.0,3,0,0.0,0.0,9,9,0,1386.896551724138,28393
2020-04-17,California,Glenn,6021.0,3,0,0.0,0.0,9,8,0,1386.896551724138,28393
2020-04-18,California,Glenn,6021.0,3,0,0.0,0.0,9,8,0,1386.896551724138,28393
2020-04-19,California,Glenn,6021.0,3,0,0.0,0.0,8,8,0,1386.896551724138,28393
2020-04-20,California,Glenn,6021.0,3,0,0.0,0.0,8,8,0,1386.896551724138,28393
