date,state,county,fips,cases,deaths,cases_diff,deaths_diff,hospitalization_total,hospitalization_total_adult,hospitalization_total_pediatric,household_median_income,population
2020-01-22,Colorado,Moffat,8081.0,0,0,0.0,0.0,1,1,0,1205.109375,13283
2020-01-23,Colorado,Moffat,8081.0,0,0,0.0,0.0,1,1,0,1205.109375,13283
2020-01-24,Colorado,Moffat,8081.0,0,0,0.0,0.0,1,1,0,1205.109375,13283
2020-01-25,Colorado,Moffat,8081.0,0,0,0.0,0.0,1,1,0,1205.109375,13283
2020-01-26,Colorado,Moffat,8081.0,0,0,0.0,0.0,1,1,0,1205.109375,13283
2020-01-27,Colorado,Moffat,8081.0,0,0,0.0,0.0,1,1,0,1205.109375,13283
2020-01-28,Colorado,Moffat,8081.0,0,0,0.0,0.0,1,1,0,1205.109375,13283
2020-01-29,Colorado,Moffat,8081.0,0,0,0.0,0.0,1,1,0,1205.109375,13283
2020-01-30,Colorado,Moffat,8081.0,0,0,0.0,0.0,1,1,0,1205.109375,13283
2020-01-31,Colorado,Moffat,8081.0,0,0,0.0,0.0,1,1,0,1205.109375,13283
2020-02-01,Colorado,Moffat,8081.0,0,0,0.0,0.0,1,1,0,1205.109375,13283
2020-02-02,Colorado,Moffat,8081.0,0,0,0.0,0.0,1,1,0,1205.109375,13283
2020-02-03,Colorado,Moffat,8081.0,0,0,0.0,0.0,1,1,0,1205.109375,13283
2020-02-04,Colorado,Moffat,8081.0,0,0,0.0,0.0,1,1,0,1205.109375,13283
2020-02-05,Colorado,Moffat,8081.0,0,0,0.0,0.0,1,1,0,1205.109375,13283
2020-02-06,Colorado,Moffat,8081.0,0,0,0.0,0.0,1,1,0,1205.109375,13283
2020-02-07,Colorado,Moffat,8081.0,0,0,0.0,0.0,1,1,0,1205.109375,13283
2020-02-08,Colorado,Moffat,8081.0,0,0,0.0,0.0,1,1,0,1205.109375,13283
2020-02-09,Colorado,Moffat,8081.0,0,0,0.0,0.0,1,1,0,1205.109375,13283
2020-02-10,Colorado,Moffat,8081.0,0,0,0.0,0.0,1,1,0,1205.109375,13283
2020-02-11,Colorado,Moffat,8081.0,0,0,0.0,0.0,1,1,0,1205.109375,13283
2020-02-12,Colorado,Moffat,8081.0,0,0,0.0,0.0,1,1,0,1205.109375,13283
2020-02-13,Colorado,Moffat,8081.0,0,0,0.0,0.0,1,1,0,1205.109375,13283
2020-02-14,Colorado,Moffat,8081.0,0,0,0.0,0.0,1,1,0,1205.109375,13283
2020-02-15,Colorado,Moffat,8081.0,0,0,0.0,0.0,1,1,0,1205.109375,13283
2020-02-16,Colorado,Moffat,8081.0,0,0,0.0,0.0,1,1,0,1205.109375,13283
2020-02-17,Colorado,Moffat,8081.0,0,0,0.0,0.0,1,1,0,1205.109375,13283
2020-02-18,Colorado,Moffat,8081.0,0,0,0.0,0.0,1,1,0,1205.109375,13283
2020-02-19,Colorado,Moffat,8081.0,0,0,0.0,0.0,1,1,0,1205.109375,13283
2020-02-20,Colorado,Moffat,8081.0,0,0,0.0,0.0,1,1,0,1205.109375,13283
2020-02-21,Colorado,Moffat,8081.0,0,0,0.0,0.0,1,1,0,1205.109375,13283
2020-02-22,Colorado,Moffat,8081.0,0,0,0.0,0.0,1,1,0,1205.109375,13283
2020-02-23,Colorado,Moffat,8081.0,0,0,0.0,0.0,1,1,0,1205.109375,13283
2020-02-24,Colorado,Moffat,8081.0,0,0,0.0,0.0,1,1,0,1205.109375,13283
2020-02-25,Colorado,Moffat,8081.0,0,0,0.0,0.0,1,1,0,1205.109375,13283
2020-02-26,Colorado,Moffat,8081.0,0,0,0.0,0.0,1,1,0,1205.109375,13283
2020-02-27,Colorado,Moffat,8081.0,0,0,0.0,0.0,1,1,0,1205.109375,13283
2020-02-28,Colorado,Moffat,8081.0,0,0,0.0,0.0,1,1,0,1205.109375,13283
2020-02-29,Colorado,Moffat,8081.0,0,0,0.0,0.0,1,1,0,1205.109375,13283
2020-03-01,Colorado,Moffat,8081.0,0,0,0.0,0.0,1,1,0,1205.109375,13283
2020-03-02,Colorado,Moffat,8081.0,0,0,0.0,0.0,1,1,0,1205.109375,13283
2020-03-03,Colorado,Moffat,8081.0,0,0,0.0,0.0,1,1,0,1205.109375,13283
2020-03-04,Colorado,Moffat,8081.0,0,0,0.0,0.0,1,1,0,1205.109375,13283
2020-03-05,Colorado,Moffat,8081.0,0,0,0.0,0.0,1,1,0,1205.109375,13283
2020-03-06,Colorado,Moffat,8081.0,0,0,0.0,0.0,1,1,0,1205.109375,13283
2020-03-07,Colorado,Moffat,8081.0,0,0,0.0,0.0,1,1,0,1205.109375,13283
2020-03-08,Colorado,Moffat,8081.0,0,0,0.0,0.0,1,1,0,1205.109375,13283
2020-03-09,Colorado,Moffat,8081.0,0,0,0.0,0.0,1,1,0,1205.109375,13283
2020-03-10,Colorado,Moffat,8081.0,0,0,0.0,0.0,1,1,0,1205.109375,13283
2020-03-11,Colorado,Moffat,8081.0,0,0,0.0,0.0,1,1,0,1205.109375,13283
2020-03-12,Colorado,Moffat,8081.0,0,0,0.0,0.0,1,1,0,1205.109375,13283
2020-03-13,Colorado,Moffat,8081.0,0,0,0.0,0.0,1,1,0,1205.109375,13283
2020-03-14,Colorado,Moffat,8081.0,0,0,0.0,0.0,1,1,0,1205.109375,13283
2020-03-15,Colorado,Moffat,8081.0,0,0,0.0,0.0,1,1,0,1205.109375,13283
